% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.776009641e+01 +7.776009641e+01 +1.185400964e+02 +1.185400964e+02 +6.3810e-01 +2.5542e-01 +2.5516e-01 +4.1250e-01 +3.4716e-01 +9.8068e-01 +8.6904e-01 +5.4269e-02 +9.1588e-01 +5.1477e-01 +4.7399e-01 +8.6019e-01 +5.6072e-02 +3.7142e-01 +8.9138e-01 +6.7282e-01 +7.6989e-01 +2.9532e-01 +9.4001e-01 +5.7174e-01
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.230108399e+01 +8.230108399e+01 +8.070108399e+01 +8.070108399e+01 +7.1037e-01 +9.9236e-01 +6.0844e-01 +9.3603e-01 +2.3901e-01 +2.0193e-01 +4.2161e-01 +4.4489e-02 +7.8066e-01 +7.0608e-01 +8.2805e-01 +8.7844e-01 +1.0145e-01 +8.2193e-01 +4.1291e-01 +8.8857e-01 +2.7946e-01 +4.5742e-01 +5.9740e-01 +2.3885e-01
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.858465801e+01 +7.858465801e+01 -2.922553420e+02 -2.922553420e+02 +8.7721e-01 +9.8523e-01 +3.8007e-01 +4.9291e-01 +7.7965e-02 +2.7183e-01 +2.3135e-01 +2.7839e-01 +9.2416e-01 +8.3507e-01 +2.7159e-01 +5.1811e-01 +7.1643e-02 +5.0207e-01 +7.1437e-01 +6.4207e-01 +5.1758e-01 +1.0502e-01 +7.3145e-01 +6.3358e-02
% function evaluation | noise-free fitness - Fopt (-3.256000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.029092438e+01 +8.029092438e+01 +4.773092438e+01 +4.773092438e+01 +2.4175e-01 +3.0299e-01 +7.9911e-01 +8.3376e-01 +5.8756e-01 +9.3168e-01 +3.5104e-01 +2.6775e-01 +2.8556e-01 +2.9927e-02 +8.7890e-01 +7.4012e-01 +7.9858e-01 +1.5803e-03 +8.8393e-01 +2.5501e-01 +4.6128e-01 +2.5576e-01 +8.0436e-01 +2.7173e-01
% function evaluation | noise-free fitness - Fopt (5.154000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.772505250e+01 +7.772505250e+01 +5.931250525e+02 +5.931250525e+02 +1.4282e-01 +3.0646e-01 +7.7023e-01 +2.2076e-01 +3.2378e-01 +5.6680e-01 +8.7796e-01 +9.5306e-01 +9.4555e-01 +7.4007e-01 +3.3710e-01 +4.9140e-01 +7.7746e-01 +4.0586e-01 +4.7628e-01 +3.4418e-01 +5.1530e-01 +8.1240e-01 +3.1681e-01 +7.1742e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.536528803e+01 +7.536528803e+01 -9.246347120e+02 -9.246347120e+02 +3.8231e-01 +8.4804e-01 +4.9367e-01 +8.4812e-01 +9.1166e-01 +8.8144e-02 +7.4872e-01 +2.4041e-01 +8.7842e-01 +4.5035e-01 +9.4661e-02 +5.1230e-01 +7.2318e-01 +6.1395e-02 +9.5820e-01 +7.8335e-01 +8.6097e-01 +9.3637e-01 +3.4988e-01 +7.5333e-01
% function evaluation | noise-free fitness - Fopt (1.317500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.188314453e+01 +8.188314453e+01 +2.136331445e+02 +2.136331445e+02 +1.0413e-01 +9.0126e-01 +8.1689e-01 +1.8776e-02 +2.8274e-01 +3.1133e-01 +3.5618e-01 +8.8059e-01 +4.8381e-01 +4.7008e-01 +6.3435e-01 +1.9947e-01 +1.2744e-01 +7.8574e-01 +1.2928e-01 +9.8170e-01 +1.8061e-01 +1.2416e-01 +1.5800e-01 +4.5620e-01
% function evaluation | noise-free fitness - Fopt (1.144900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
