% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.456925167e+01 +9.456925167e+01 +1.740492517e+02 +1.740492517e+02 +2.0699e-01 +3.4656e-01 +5.1667e-01 +2.5805e-01 +7.5962e-01 +5.6885e-01 +3.8528e-01 +5.3893e-01 +1.6064e-01 +1.3714e-01 +5.1165e-01 +8.4076e-01 +6.5150e-01 +3.6811e-01 +4.1428e-01 +8.0840e-01 +1.6848e-01 +9.0901e-01 +7.1704e-01 +7.1131e-01
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.486953023e+02 +1.486953023e+02 +5.431753023e+02 +5.431753023e+02 +6.0055e-01 +2.5716e-01 +4.5230e-01 +6.7194e-01 +9.7480e-01 +4.3381e-01 +7.3882e-01 +2.1584e-02 +1.9691e-02 +4.3060e-01 +2.5540e-01 +2.9402e-01 +3.7426e-01 +2.4755e-01 +4.6881e-01 +8.0651e-01 +2.4573e-01 +4.2437e-02 +2.4136e-02 +5.9661e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.162433604e+02 +1.162433604e+02 -1.308666396e+02 -1.308666396e+02 +5.0793e-01 +4.9677e-01 +1.8907e-01 +6.9503e-01 +6.1651e-01 +6.0069e-01 +4.1028e-01 +3.6955e-01 +4.4441e-01 +2.0601e-01 +4.1849e-01 +9.2650e-01 +7.4858e-01 +3.3970e-01 +3.5066e-01 +7.4243e-01 +8.9572e-01 +1.3177e-01 +9.7330e-01 +3.3971e-01
95 +9.999707997e+01 +9.999707997e+01 -1.471129200e+02 -1.471129200e+02 +0.0000e+00 +0.0000e+00 +7.6430e-01 +1.0000e+00 +3.5342e-01 +9.5550e-01 +8.5803e-01 +1.1653e-02 +6.1140e-01 +9.6749e-01 +1.0000e+00 +7.3551e-01 +6.6740e-01 +1.2915e-02 +1.0000e+00 +2.6682e-01 +1.0000e+00 +0.0000e+00 +8.5535e-01 +9.9222e-01
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.109054326e+02 +1.109054326e+02 -4.113456739e+01 -4.113456739e+01 +9.3658e-01 +4.2135e-01 +9.3727e-01 +2.9112e-01 +6.8917e-01 +3.6992e-01 +6.5986e-01 +8.8220e-01 +9.4161e-01 +4.7918e-02 +4.1406e-02 +3.4014e-01 +4.9274e-01 +4.8287e-01 +8.9868e-01 +8.9532e-01 +2.0476e-01 +1.0444e-01 +4.9317e-01 +7.2434e-01
7 +9.598497439e+01 +9.598497439e+01 -5.605502561e+01 -5.605502561e+01 +8.3493e-02 +4.7127e-01 +4.4381e-01 +8.1539e-01 +6.5698e-01 +3.2392e-01 +4.6767e-01 +2.1668e-01 +2.6266e-04 +9.4582e-01 +1.7490e-01 +6.3967e-01 +4.3809e-01 +5.0010e-01 +9.8075e-01 +4.5555e-01 +5.2151e-01 +5.1417e-01 +2.8235e-02 +8.8556e-01
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.303574368e+01 +7.303574368e+01 +4.778574368e+01 +4.778574368e+01 +9.1494e-01 +5.2295e-01 +3.3744e-01 +5.4228e-01 +8.0457e-01 +3.8350e-02 +9.7438e-03 +7.4546e-01 +8.3015e-01 +6.7974e-01 +4.0865e-01 +3.8735e-01 +6.2787e-01 +4.5730e-01 +8.0585e-01 +6.7576e-01 +1.4225e-01 +9.7835e-01 +3.0578e-01 +8.2265e-02
50 +6.209686987e+01 +6.209686987e+01 +3.684686987e+01 +3.684686987e+01 +1.0000e+00 +5.3418e-01 +1.2416e-01 +2.9087e-01 +7.5288e-01 +2.3979e-01 +0.0000e+00 +2.3300e-01 +5.5700e-01 +6.3441e-01 +1.0000e+00 +1.4325e-01 +0.0000e+00 +0.0000e+00 +8.8396e-01 +4.3070e-01 +9.5459e-01 +3.5272e-01 +9.4124e-02 +7.6096e-02
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
