% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.361482143e+05 +9.361482143e+05 +9.361841143e+05 +9.361841143e+05 +3.2349e-01 +7.3806e-01 +3.5699e-01 +8.7858e-01 +9.9873e-02 +5.2340e-01 +3.5926e-01 +6.7664e-01 +7.9073e-01 +4.8336e-01 +5.7218e-01 +1.6793e-01 +7.4837e-01 +4.1439e-02 +3.2896e-01 +8.7318e-01 +2.9421e-01 +3.5551e-01 +4.7046e-02 +1.8862e-03
66 +6.177196915e+05 +6.177196915e+05 +6.177555915e+05 +6.177555915e+05 +5.0000e-01 +1.0000e+00 +1.0000e+00 +1.3831e-03 +0.0000e+00 +2.8339e-01 +4.5569e-01 +0.0000e+00 +0.0000e+00 +5.5828e-01 +2.9695e-01 +1.0000e+00 +2.5783e-01 +2.6558e-01 +5.5939e-01 +7.2834e-01 +8.0105e-01 +8.7649e-01 +9.2756e-03 +5.9312e-01
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.265802119e+05 +4.265802119e+05 +4.266115819e+05 +4.266115819e+05 +6.8362e-01 +8.1713e-01 +4.2237e-01 +8.4155e-01 +7.2245e-02 +3.8859e-01 +9.8187e-01 +3.3190e-01 +5.9477e-01 +4.4458e-01 +4.6857e-01 +5.1682e-01 +1.7501e-01 +8.7979e-01 +6.1901e-01 +7.5799e-02 +6.3383e-01 +5.1822e-01 +2.7640e-01 +8.2677e-01
2 +3.780207782e+05 +3.780207782e+05 +3.780521482e+05 +3.780521482e+05 +1.6535e-01 +4.7639e-01 +9.7930e-01 +9.4889e-01 +9.8094e-02 +5.0367e-01 +2.1776e-01 +7.9021e-01 +1.2524e-01 +9.9737e-02 +3.2926e-01 +8.3902e-01 +8.6999e-01 +7.2791e-01 +6.0417e-01 +7.5998e-01 +9.4691e-01 +4.1172e-01 +2.6832e-01 +1.9431e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.063434406e+05 +3.063434406e+05 +3.053434406e+05 +3.053434406e+05 +5.4152e-01 +8.0290e-01 +3.7839e-01 +6.8955e-01 +7.6730e-02 +3.8435e-01 +7.5291e-02 +6.2594e-01 +2.6930e-01 +7.8488e-01 +8.3403e-01 +2.4553e-01 +7.9650e-01 +7.9905e-01 +1.6632e-01 +9.4863e-01 +8.4725e-01 +5.8515e-01 +8.6306e-01 +5.5335e-01
55 +2.504189696e+05 +2.504189696e+05 +2.494189696e+05 +2.494189696e+05 +8.3273e-01 +5.5370e-01 +5.8928e-01 +5.2034e-01 +1.0000e+00 +4.6231e-01 +9.0835e-01 +2.8773e-01 +6.8153e-01 +8.8979e-01 +1.0000e+00 +5.6453e-01 +0.0000e+00 +1.1063e-01 +5.6788e-02 +1.0000e+00 +5.0879e-01 +1.0000e+00 +1.8555e-01 +8.9984e-01
257 +1.581574651e+05 +1.581574651e+05 +1.571574651e+05 +1.571574651e+05 +9.9979e-01 +9.9356e-01 +2.4395e-04 +8.0690e-01 +3.0958e-01 +9.9180e-01 +9.9997e-01 +9.1488e-01 +1.0000e+00 +1.0000e+00 +1.0000e+00 +9.4454e-01 +3.6479e-01 +1.0000e+00 +3.4836e-03 +8.9010e-05 +0.0000e+00 +1.0000e+00 +0.0000e+00 +9.8960e-01
% function evaluation | noise-free fitness - Fopt (1.319200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
