% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.929386026e+01 +1.929386026e+01 +2.616386026e+01 +2.616386026e+01 +9.8723e-01 +9.9047e-01 +3.3761e-01 +6.1457e-01 +1.9999e-02 +4.6137e-01 +6.0359e-01 +2.1144e-01 +3.3536e-01 +1.2619e-01 +4.4557e-01 +5.2495e-02 +6.1254e-01 +9.0798e-02 +2.8890e-01 +4.4755e-01 +2.2454e-01 +4.2611e-01 +1.4570e-01 +4.9884e-01
2 +8.875134523e+00 +8.875134523e+00 +1.574513452e+01 +1.574513452e+01 +7.0703e-01 +9.7611e-01 +6.7462e-01 +2.3778e-01 +7.7243e-01 +4.3856e-01 +4.9151e-01 +4.4404e-01 +2.0372e-01 +3.7957e-01 +3.4244e-01 +9.6586e-01 +1.3487e-01 +7.3708e-01 +6.0419e-02 +8.7444e-02 +3.8857e-01 +7.2792e-01 +8.3961e-01 +7.4057e-01
22 +5.793922101e+00 +5.793922101e+00 +1.266392210e+01 +1.266392210e+01 +2.4803e-01 +7.7848e-01 +8.7435e-01 +7.3778e-01 +8.6376e-01 +0.0000e+00 +4.9032e-01 +5.6732e-02 +1.0519e-01 +1.5080e-01 +6.3442e-01 +8.4264e-01 +2.2236e-01 +2.9635e-01 +5.6042e-01 +5.8744e-01 +8.8857e-01 +5.3517e-01 +9.0522e-01 +2.4057e-01
149 +3.854820299e+00 +3.854820299e+00 +1.072482030e+01 +1.072482030e+01 +4.0182e-01 +5.7655e-01 +2.3768e-01 +6.4375e-01 +8.7573e-01 +7.8929e-01 +1.1485e-01 +2.9829e-01 +1.1440e-01 +7.5708e-01 +8.6679e-01 +3.1298e-02 +9.1815e-01 +1.0000e+00 +8.7078e-01 +5.0634e-01 +9.3796e-01 +6.2561e-02 +3.0139e-01 +0.0000e+00
1680 +1.691542529e+00 +1.691542529e+00 +8.561542529e+00 +8.561542529e+00 +5.0000e-01 +5.1530e-01 +7.7824e-01 +6.7972e-01 +8.0080e-01 +7.0430e-01 +4.3248e-01 +4.8305e-01 +5.2403e-01 +4.1792e-01 +8.4213e-01 +5.0000e-01 +7.6023e-01 +5.3692e-01 +2.0376e-01 +4.7225e-01 +1.6614e-01 +7.8223e-01 +2.0361e-01 +2.6397e-01
5206 +1.557080201e+00 +1.557080201e+00 +8.427080201e+00 +8.427080201e+00 +3.9737e-01 +6.1451e-01 +1.1780e-01 +7.6441e-01 +7.9174e-01 +7.6108e-01 +2.0314e-01 +2.9445e-01 +1.9874e-01 +7.0515e-01 +7.6884e-01 +2.6797e-01 +3.4495e-01 +9.4244e-01 +6.7959e-01 +4.5074e-01 +9.7598e-01 +2.8127e-01 +7.1713e-01 +1.5283e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.936390645e+00 +7.936390645e+00 +7.946390645e+00 +7.946390645e+00 +9.7396e-01 +7.3316e-01 +3.5234e-01 +7.3495e-01 +7.4557e-01 +2.6255e-01 +2.5598e-01 +9.5788e-03 +4.9251e-01 +5.6644e-01 +4.2496e-01 +3.7840e-01 +1.5725e-01 +4.8983e-01 +1.4722e-01 +8.9519e-01 +7.5013e-01 +1.2184e-01 +2.1529e-01 +4.1158e-01
11 +4.527377038e+00 +4.527377038e+00 +4.537377038e+00 +4.537377038e+00 +8.9169e-01 +5.9204e-01 +6.7806e-01 +6.6468e-01 +4.9940e-01 +9.8616e-01 +9.3979e-01 +3.5200e-01 +5.2229e-01 +9.3117e-01 +6.2254e-01 +1.2447e-01 +1.5135e-01 +9.6730e-01 +1.8309e-01 +6.4226e-01 +2.8441e-02 +9.4888e-01 +4.6011e-01 +7.5776e-01
150 +3.188500121e+00 +3.188500121e+00 +3.198500121e+00 +3.198500121e+00 +8.6277e-01 +1.0000e+00 +7.9493e-01 +6.4567e-01 +5.6774e-01 +9.8068e-01 +9.7779e-01 +2.6723e-01 +2.2227e-01 +1.0000e+00 +8.8943e-01 +5.2206e-02 +8.6578e-02 +9.8772e-01 +3.2908e-02 +6.4524e-01 +1.0051e-02 +1.0000e+00 +4.8004e-01 +9.6747e-01
