% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.711600770e+01 +4.711600770e+01 +3.017600770e+01 +3.017600770e+01 +6.4097e-02 +9.9889e-01 +9.7347e-01 +2.0983e-01 +5.1997e-01 +5.3930e-03 +3.9091e-01 +7.7197e-01 +7.3759e-01 +8.7947e-01 +6.8229e-01 +2.8470e-01 +7.1867e-01 +6.8048e-01 +1.9465e-01 +8.9212e-01 +8.2208e-01 +9.4666e-01 +5.7301e-01 +9.4977e-01
4 +3.003544414e+01 +3.003544414e+01 +1.309544414e+01 +1.309544414e+01 +6.2184e-01 +2.9903e-01 +8.3366e-02 +3.0834e-01 +1.9885e-01 +3.0465e-01 +1.5085e-01 +7.5955e-02 +2.7854e-02 +1.0809e-02 +2.7685e-01 +4.2249e-01 +8.9671e-01 +2.6653e-02 +9.4439e-01 +9.0003e-01 +2.3915e-01 +3.8461e-01 +8.5101e-01 +2.7900e-01
15 +2.416577641e+01 +2.416577641e+01 +7.225776405e+00 +7.225776405e+00 +9.3324e-01 +3.9463e-01 +9.8919e-03 +8.2318e-01 +7.2655e-01 +7.6301e-01 +8.4533e-01 +8.8290e-01 +2.9425e-01 +3.0260e-01 +7.5321e-01 +7.7996e-02 +2.0526e-01 +3.9588e-01 +5.5611e-01 +6.2462e-01 +6.5080e-01 +8.5038e-01 +2.0512e-01 +8.7535e-01
570 +1.583739676e+01 +1.583739676e+01 -1.102603244e+00 -1.102603244e+00 +8.6697e-01 +3.5206e-01 +2.2678e-01 +1.7357e-01 +8.2903e-01 +8.6151e-01 +1.0000e+00 +9.6080e-01 +2.5707e-02 +0.0000e+00 +9.9925e-01 +2.9712e-01 +1.9540e-01 +4.4888e-01 +5.7066e-01 +3.7279e-01 +1.0000e+00 +1.0000e+00 +1.5657e-01 +7.8085e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.447451763e+01 +1.447451763e+01 +3.328451763e+01 +3.328451763e+01 +5.2601e-01 +7.8013e-01 +7.3790e-01 +4.8614e-01 +5.4788e-01 +7.5284e-01 +8.5191e-01 +3.4237e-01 +7.0200e-01 +2.9551e-01 +6.4645e-01 +1.0552e-01 +4.8074e-01 +5.7459e-01 +9.8511e-01 +4.4429e-01 +8.3503e-01 +4.6797e-01 +7.7106e-01 +1.9665e-01
4 +9.712557822e+00 +9.712557822e+00 +2.852255782e+01 +2.852255782e+01 +7.2593e-02 +7.3351e-01 +5.3986e-01 +4.0725e-01 +2.6597e-01 +6.6232e-01 +7.7544e-01 +6.0224e-01 +5.4444e-01 +6.4952e-01 +5.7206e-01 +1.2250e-01 +5.0255e-01 +3.8935e-02 +4.6016e-02 +3.8465e-01 +1.2660e-01 +6.8043e-01 +2.5003e-01 +3.2166e-01
107 +5.901525407e+00 +5.901525407e+00 +2.471152541e+01 +2.471152541e+01 +7.3913e-01 +2.6263e-01 +6.9561e-01 +5.0136e-01 +0.0000e+00 +1.0422e-01 +7.1964e-01 +2.0965e-01 +3.5988e-01 +3.5010e-01 +1.9186e-01 +1.0000e+00 +9.9645e-01 +3.4376e-01 +0.0000e+00 +1.0063e-01 +1.6672e-01 +6.0658e-01 +5.0894e-01 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.453404903e+01 +5.453404903e+01 +3.276840490e+02 +3.276840490e+02 +1.9709e-01 +1.1094e-01 +9.7375e-01 +8.0787e-02 +2.1108e-01 +5.3178e-02 +8.2685e-01 +4.6869e-01 +3.8908e-01 +8.2079e-01 +2.8507e-01 +1.1764e-01 +4.1734e-01 +7.2778e-01 +9.4598e-01 +3.1582e-01 +9.2631e-01 +4.7512e-02 +3.3628e-01 +6.0921e-02
44 +3.889211467e+01 +3.889211467e+01 +3.120421147e+02 +3.120421147e+02 +5.9082e-01 +0.0000e+00 +6.2891e-01 +9.3881e-01 +2.5147e-01 +4.4630e-01 +0.0000e+00 +2.2136e-01 +0.0000e+00 +1.0000e+00 +6.2570e-01 +5.6111e-01 +5.9764e-01 +5.3915e-01 +8.1479e-01 +0.0000e+00 +6.5177e-01 +7.9610e-01 +2.7055e-01 +0.0000e+00
941 +2.502292601e+01 +2.502292601e+01 +2.981729260e+02 +2.981729260e+02 +5.9941e-01 +7.1981e-02 +0.0000e+00 +8.8125e-01 +4.9202e-01 +4.8444e-02 +0.0000e+00 +6.0795e-02 +0.0000e+00 +9.9377e-01 +1.0000e+00 +5.0385e-01 +1.1184e-02 +8.7403e-01 +1.0000e+00 +3.4590e-01 +8.4641e-01 +9.8678e-01 +3.2796e-01 +1.3689e-01
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.418804724e+01 +1.418804724e+01 +5.136804724e+01 +5.136804724e+01 +9.2373e-01 +7.3853e-01 +9.0965e-01 +5.6142e-01 +5.0570e-04 +2.9330e-01 +1.0546e-01 +9.6331e-01 +9.0603e-01 +5.7804e-01 +6.4570e-01 +3.0111e-01 +8.6973e-01 +5.9164e-01 +6.0797e-01 +2.6821e-01 +2.2283e-01 +7.8147e-01 +8.1237e-01 +8.6759e-01
66 +9.919532442e+00 +9.919532442e+00 +4.709953244e+01 +4.709953244e+01 +3.9430e-01 +7.5565e-01 +5.6065e-01 +8.3000e-02 +1.8421e-01 +1.1001e-01 +1.0000e+00 +4.6605e-01 +3.3534e-01 +5.3373e-01 +6.0980e-02 +4.3906e-01 +3.0900e-01 +6.7646e-01 +0.0000e+00 +8.1221e-01 +1.0000e+00 +9.8480e-01 +0.0000e+00 +7.3637e-01
440 +6.293572835e+00 +6.293572835e+00 +4.347357284e+01 +4.347357284e+01 +0.0000e+00 +5.9298e-01 +5.1042e-02 +6.3881e-03 +5.8655e-01 +4.9878e-02 +5.0275e-01 +5.0924e-01 +4.1345e-03 +1.0000e+00 +0.0000e+00 +4.3138e-01 +9.5088e-01 +4.3405e-01 +9.9843e-01 +4.7356e-01 +2.1735e-01 +1.7552e-02 +5.2469e-02 +9.8798e-01
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.090640356e+01 +1.090640356e+01 -1.369935964e+02 -1.369935964e+02 +4.6588e-01 +6.7964e-01 +9.7792e-01 +3.8377e-01 +9.5330e-01 +3.6765e-02 +9.8101e-01 +7.0798e-01 +6.0721e-01 +1.2560e-01 +5.4904e-01 +4.7775e-01 +2.9866e-01 +3.3459e-01 +1.6166e-01 +1.5147e-01 +9.8497e-02 +1.8845e-01 +7.2909e-01 +7.0743e-01
130 +9.647406652e+00 +9.647406652e+00 -1.382525933e+02 -1.382525933e+02 +1.9950e-01 +7.2241e-01 +8.0625e-01 +6.6725e-01 +5.8986e-01 +3.3486e-01 +5.6754e-01 +2.4505e-01 +2.4988e-01 +5.7610e-01 +3.2121e-01 +4.0209e-01 +2.7442e-03 +2.5846e-01 +8.9421e-01 +4.7054e-01 +4.5704e-01 +4.0884e-01 +7.5301e-01 +7.1654e-01
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
