% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.378559997e+01 +1.378559997e+01 -8.876440003e+01 -8.876440003e+01 +7.7667e-01 +8.4408e-01 +4.4059e-01 +5.4627e-01 +6.6532e-01 +6.6685e-01 +2.4847e-01 +2.6125e-01 +1.8987e-01 +8.7238e-01 +9.2597e-01 +8.1518e-01 +5.7044e-01 +7.1063e-01 +3.0738e-01 +4.1854e-01 +4.2246e-02 +9.3817e-01 +7.9841e-01 +9.1311e-02
2 +6.298417083e+00 +6.298417083e+00 -9.625158292e+01 -9.625158292e+01 +9.5007e-01 +5.2923e-01 +6.7713e-01 +6.3529e-01 +9.6963e-01 +9.5379e-01 +4.4034e-01 +2.9908e-01 +2.3600e-01 +8.6103e-01 +5.3014e-01 +3.2697e-01 +5.5958e-01 +3.7368e-01 +2.5500e-01 +2.9298e-01 +1.8053e-01 +5.8504e-01 +8.9816e-01 +4.5187e-01
4537 +3.741255821e+00 +3.741255821e+00 -9.880874418e+01 -9.880874418e+01 +1.0000e+00 +2.9831e-01 +7.9130e-01 +5.2395e-01 +8.5858e-01 +1.5963e-01 +2.5017e-01 +6.7887e-01 +1.8958e-01 +1.0000e+00 +5.4171e-01 +1.0716e-01 +4.7823e-01 +5.3213e-01 +4.9224e-02 +5.4735e-02 +1.9757e-01 +6.9619e-01 +3.9781e-01 +6.0030e-01
7168 +2.287597814e+00 +2.287597814e+00 -1.002624022e+02 -1.002624022e+02 +4.5531e-03 +9.2085e-02 +9.1303e-01 +8.0602e-02 +3.8195e-01 +8.7338e-02 +8.0988e-01 +1.6453e-01 +7.0512e-01 +4.2892e-01 +3.6244e-02 +4.4615e-01 +9.3723e-01 +7.5521e-01 +3.9482e-01 +5.3503e-01 +3.6876e-01 +6.5434e-01 +9.9738e-01 +2.7479e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.038592490e+01 +1.038592490e+01 +8.207592490e+01 +8.207592490e+01 +6.8711e-01 +6.6200e-01 +1.3451e-01 +8.5169e-01 +7.7823e-01 +9.0123e-01 +1.0520e-01 +6.9730e-01 +2.5261e-02 +4.0472e-02 +4.0885e-01 +4.8191e-01 +6.3194e-01 +6.1908e-01 +4.4912e-01 +4.6381e-01 +1.7742e-01 +4.5116e-01 +1.5036e-01 +7.9641e-01
3 +6.567388756e+00 +6.567388756e+00 +7.825738876e+01 +7.825738876e+01 +4.2478e-01 +5.3667e-01 +2.7015e-01 +3.9742e-01 +8.7972e-03 +9.7476e-01 +5.2976e-01 +1.4807e-01 +1.7934e-01 +7.6252e-01 +2.3787e-01 +6.0885e-01 +3.2171e-02 +3.4197e-01 +4.3666e-02 +1.5375e-01 +8.3214e-01 +7.7130e-01 +9.2863e-01 +2.5605e-01
204 +6.192820620e+00 +6.192820620e+00 +7.788282062e+01 +7.788282062e+01 +4.2980e-01 +4.9134e-01 +3.6895e-01 +4.5203e-01 +4.9172e-02 +9.7399e-01 +7.5314e-01 +2.5976e-01 +3.6879e-01 +7.8674e-01 +2.6714e-01 +8.1379e-01 +5.8377e-02 +4.8369e-01 +1.8362e-01 +1.3155e-01 +8.0908e-01 +7.5206e-01 +9.4102e-01 +1.9861e-01
1723 +3.924213992e+00 +3.924213992e+00 +7.561421399e+01 +7.561421399e+01 +4.2608e-01 +5.3002e-01 +3.2200e-01 +4.1548e-01 +4.6711e-03 +9.7049e-01 +6.6019e-01 +1.1175e-01 +2.1076e-01 +7.9558e-01 +2.3576e-01 +8.6317e-01 +8.0006e-02 +3.9903e-01 +0.0000e+00 +1.1795e-01 +8.1590e-01 +7.4589e-01 +9.2258e-01 +2.5009e-01
4536 +2.453868315e+00 +2.453868315e+00 +7.414386831e+01 +7.414386831e+01 +5.1090e-01 +5.7307e-01 +4.1005e-02 +5.4851e-01 +4.7851e-02 +1.2378e-02 +1.1302e-01 +5.8769e-01 +3.9868e-01 +1.2443e-01 +9.6550e-01 +5.1009e-01 +3.9580e-01 +2.4214e-01 +4.9965e-01 +6.9839e-01 +7.2608e-01 +6.7576e-01 +9.8883e-01 +2.4602e-01
