% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.755151012e+06 +7.755151012e+06 +7.755096072e+06 +7.755096072e+06 +1.3885e-01 +8.0053e-01 +2.0519e-01 +8.0831e-01 +7.9978e-01 +6.9570e-02 +8.3206e-01 +1.1788e-01 +1.7652e-01 +9.1304e-01 +7.3191e-01 +6.5425e-01 +5.7955e-01 +8.7832e-01 +7.2193e-01 +8.5738e-01 +3.3063e-01 +4.0739e-01 +3.1349e-02 +1.1344e-01
3 +6.064633288e+06 +6.064633288e+06 +6.064578348e+06 +6.064578348e+06 +3.5084e-01 +2.5557e-01 +9.3688e-01 +9.5896e-01 +9.1795e-01 +7.3992e-01 +8.1579e-01 +9.9264e-02 +5.6118e-01 +7.9011e-01 +8.2162e-01 +5.0263e-01 +1.2597e-01 +2.6463e-01 +2.1900e-01 +9.1222e-01 +9.1114e-01 +2.1778e-01 +2.4087e-01 +1.9247e-01
63 +3.754780544e+06 +3.754780544e+06 +3.754725604e+06 +3.754725604e+06 +1.7223e-01 +0.0000e+00 +2.5197e-01 +4.8461e-01 +1.4032e-01 +7.4391e-01 +1.5178e-01 +9.3834e-01 +4.1871e-02 +1.8039e-01 +1.0000e+00 +3.6064e-01 +8.3298e-01 +0.0000e+00 +5.0000e-01 +0.0000e+00 +1.0000e+00 +1.0000e+00 +0.0000e+00 +2.0913e-01
192 +2.503831353e+06 +2.503831353e+06 +2.503776413e+06 +2.503776413e+06 +0.0000e+00 +2.1200e-01 +1.0020e-04 +1.1384e-02 +4.1731e-01 +1.0000e+00 +1.0000e+00 +0.0000e+00 +6.3706e-04 +8.7757e-01 +7.0384e-02 +1.1606e-01 +1.0000e+00 +0.0000e+00 +1.5750e-03 +9.8277e-01 +1.0000e+00 +1.0000e+00 +0.0000e+00 +1.0967e-01
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.827515831e+06 +2.827515831e+06 +2.827574961e+06 +2.827574961e+06 +8.0241e-01 +6.8185e-02 +8.9850e-01 +7.0910e-01 +2.8757e-01 +5.6782e-01 +3.3026e-02 +3.6053e-01 +8.7567e-01 +1.9513e-02 +9.2185e-01 +4.5684e-01 +1.2201e-01 +9.4248e-01 +1.8590e-01 +8.9324e-01 +4.1610e-01 +2.7918e-02 +4.0835e-01 +4.2973e-01
3 +2.159381981e+06 +2.159381981e+06 +2.159441111e+06 +2.159441111e+06 +3.2299e-01 +3.8495e-01 +7.9301e-01 +7.2646e-01 +9.2456e-01 +2.7079e-01 +9.4286e-01 +6.4637e-01 +4.4764e-01 +5.4903e-01 +7.9666e-01 +3.7296e-01 +8.2629e-01 +9.8733e-01 +9.3772e-01 +8.6305e-02 +7.9670e-01 +1.6047e-01 +4.5079e-01 +6.5677e-01
58 +1.485594809e+06 +1.485594809e+06 +1.485653939e+06 +1.485653939e+06 +6.4848e-02 +1.0000e+00 +2.9028e-01 +1.2142e-01 +0.0000e+00 +3.0999e-01 +5.1865e-01 +7.7392e-01 +4.0075e-01 +8.9537e-01 +1.0000e+00 +1.2308e-01 +9.1897e-01 +3.5397e-01 +6.4404e-01 +1.3182e-01 +9.8193e-01 +0.0000e+00 +6.2264e-01 +2.4181e-01
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.080483946e+06 +2.080483946e+06 +2.079992416e+06 +2.079992416e+06 +5.4494e-01 +4.5282e-01 +7.9365e-01 +1.7895e-01 +1.6668e-01 +1.0951e-02 +1.9682e-01 +5.5648e-01 +3.7188e-01 +6.9468e-01 +1.0808e-01 +3.4168e-01 +1.9848e-01 +2.2939e-01 +7.6155e-02 +6.3272e-01 +9.4329e-01 +1.1787e-01 +1.0668e-01 +7.6504e-01
4 +1.215134574e+06 +1.215134574e+06 +1.214643044e+06 +1.214643044e+06 +2.0391e-01 +7.6826e-01 +2.8009e-02 +8.6559e-01 +4.2197e-01 +3.4374e-01 +9.5878e-01 +4.8835e-01 +3.2537e-01 +4.4140e-01 +5.1479e-01 +4.2953e-01 +3.0232e-01 +7.6681e-02 +8.5076e-01 +3.4719e-01 +2.3356e-01 +3.2706e-01 +3.2626e-01 +6.0700e-01
