% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.362829818e+01 +8.362829818e+01 -9.163717018e+02 -9.163717018e+02 +5.3967e-01 +4.6241e-01 +4.1996e-01 +5.9180e-01 +8.1667e-01 +9.9863e-01 +3.5286e-01 +3.3139e-01 +8.6996e-01 +4.7264e-01 +2.8850e-01 +3.4527e-01 +7.1035e-01 +4.2570e-01 +1.3522e-01 +1.5402e-01 +9.6240e-01 +8.8915e-01 +6.1863e-01 +4.9735e-02
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.244746437e+01 +8.244746437e+01 +1.082447464e+03 +1.082447464e+03 +2.2007e-01 +5.9557e-01 +5.8080e-01 +6.4218e-01 +3.4022e-01 +1.5566e-01 +5.3672e-01 +8.7850e-01 +4.8054e-01 +5.8983e-02 +4.9039e-01 +8.9721e-01 +2.6409e-01 +4.2435e-01 +9.1967e-01 +5.4369e-01 +2.0342e-01 +7.8896e-01 +3.4995e-03 +1.2614e-01
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.238802160e+01 +8.238802160e+01 +3.325802160e+01 +3.325802160e+01 +9.6360e-01 +7.9947e-01 +8.0570e-01 +5.5132e-01 +8.5491e-01 +6.2761e-01 +8.4332e-01 +8.7567e-01 +2.8173e-01 +6.8023e-01 +1.1886e-01 +8.4695e-02 +1.7527e-02 +9.2740e-01 +1.4487e-01 +1.1690e-01 +8.4350e-01 +5.7250e-01 +9.8090e-01 +3.4138e-01
% function evaluation | noise-free fitness - Fopt (2.977300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.921503878e+01 +7.921503878e+01 +3.769450388e+02 +3.769450388e+02 +5.9779e-01 +5.3521e-01 +6.1177e-01 +3.0356e-01 +7.0732e-01 +5.6513e-01 +1.8741e-01 +2.3414e-02 +1.2296e-02 +9.5874e-01 +6.8168e-01 +9.6859e-01 +5.6422e-01 +6.1665e-01 +4.1871e-01 +9.3885e-01 +2.9046e-01 +8.1178e-01 +9.5474e-01 +5.8441e-01
% function evaluation | noise-free fitness - Fopt (5.157000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.294409821e+01 +8.294409821e+01 +1.345140982e+02 +1.345140982e+02 +9.1611e-01 +6.1719e-01 +9.3043e-01 +9.9689e-01 +7.9586e-01 +6.7271e-01 +6.9880e-01 +8.1564e-01 +2.6031e-03 +3.3936e-01 +4.1555e-01 +3.3221e-01 +7.5259e-01 +8.1699e-01 +7.9546e-01 +4.8223e-01 +4.4003e-01 +9.0092e-01 +1.0334e-01 +3.8586e-01
% function evaluation | noise-free fitness - Fopt (1.495000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.485344834e+01 +8.485344834e+01 +9.980344834e+01 +9.980344834e+01 +7.7215e-01 +5.9010e-01 +9.5468e-01 +1.9227e-01 +4.3819e-02 +9.5649e-01 +1.8340e-01 +7.4720e-01 +5.7550e-01 +2.4178e-01 +5.6252e-01 +1.4965e-02 +4.5423e-01 +6.6924e-01 +4.4343e-02 +2.4260e-01 +4.3930e-01 +5.4676e-01 +8.7326e-01 +5.7165e-01
% function evaluation | noise-free fitness - Fopt (6.938000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.727069326e+01 +7.727069326e+01 +1.466506933e+02 +1.466506933e+02 +2.3289e-01 +5.8305e-01 +9.4378e-01 +9.2364e-01 +4.6397e-01 +9.4659e-01 +5.2025e-01 +6.3932e-01 +3.1649e-01 +2.2904e-01 +9.1795e-01 +4.6983e-01 +3.9136e-01 +9.4701e-01 +2.6296e-01 +8.8445e-01 +9.5426e-01 +9.4592e-01 +3.7321e-01 +6.1343e-01
% function evaluation | noise-free fitness - Fopt (7.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.378690653e+01 +8.378690653e+01 +1.563369065e+02 +1.563369065e+02 +9.9611e-01 +3.4800e-01 +4.6621e-01 +7.0177e-01 +7.7924e-01 +1.7406e-02 +6.3718e-01 +5.5510e-01 +1.0832e-01 +7.4267e-01 +8.3389e-01 +1.3374e-01 +8.6722e-01 +6.1617e-01 +5.7143e-01 +9.1004e-01 +8.6729e-01 +6.5838e-01 +4.4167e-01 +5.3998e-01
% function evaluation | noise-free fitness - Fopt (-5.473100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.690666036e+01 +7.690666036e+01 -4.704033396e+02 -4.704033396e+02 +9.6711e-02 +2.8909e-01 +8.5401e-01 +8.8201e-01 +1.9332e-01 +9.6589e-01 +9.1759e-02 +8.1212e-01 +7.3402e-01 +2.1292e-02 +9.2401e-03 +2.9555e-01 +6.5681e-01 +7.3476e-01 +4.3993e-01 +3.2549e-01 +5.0913e-01 +1.0395e-01 +8.8877e-01 +5.9973e-02
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
