% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.229676568e+02 +3.229676568e+02 +4.255776568e+02 +4.255776568e+02 +9.3300e-01 +4.6748e-01 +9.4398e-01 +4.6587e-01 +1.3920e-01 +9.3589e-01 +6.7815e-01 +7.1370e-01 +3.8368e-01 +5.8592e-01 +7.6586e-01 +2.8200e-01 +3.5473e-01 +5.7886e-01 +3.6855e-01 +3.7063e-01 +5.6889e-01 +4.5265e-02 +9.4327e-01 +5.2589e-01
49 +2.470455008e+02 +2.470455008e+02 +3.496555008e+02 +3.496555008e+02 +8.4577e-01 +9.6178e-01 +4.7277e-01 +4.0006e-01 +4.4649e-01 +4.7367e-01 +8.6977e-01 +5.0756e-01 +4.7615e-01 +2.2248e-01 +8.5237e-01 +6.8631e-01 +5.6942e-01 +7.8088e-01 +9.7046e-01 +3.4132e-01 +2.7589e-01 +2.4386e-01 +6.9056e-01 +1.6553e-01
2442 +1.579224078e+02 +1.579224078e+02 +2.605324078e+02 +2.605324078e+02 +0.0000e+00 +4.4060e-05 +8.9475e-01 +8.8102e-01 +0.0000e+00 +7.8070e-01 +7.3865e-01 +2.6595e-01 +6.6210e-01 +1.4162e-01 +4.2341e-01 +7.4867e-01 +1.8763e-01 +7.0340e-01 +4.7103e-01 +5.8704e-01 +4.9235e-01 +7.4077e-02 +7.2123e-01 +5.1615e-02
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.560032445e+02 +3.560032445e+02 +4.493032445e+02 +4.493032445e+02 +4.5121e-01 +6.5992e-01 +6.7151e-01 +1.2768e-02 +2.0324e-01 +2.2352e-01 +4.2054e-01 +2.3454e-01 +3.6901e-01 +5.9499e-01 +6.2224e-01 +6.8962e-01 +7.2136e-01 +3.3334e-01 +5.1318e-01 +8.0486e-01 +3.4661e-01 +5.7032e-01 +5.4544e-03 +4.4631e-01
85 +2.113012743e+02 +2.113012743e+02 +3.046012743e+02 +3.046012743e+02 +6.1313e-01 +0.0000e+00 +8.4270e-01 +5.0000e-01 +5.0255e-01 +3.1172e-01 +8.9827e-01 +2.8634e-01 +2.5398e-01 +9.1672e-01 +1.9930e-01 +7.0853e-01 +2.8665e-01 +4.4357e-01 +4.3270e-02 +9.7470e-01 +5.8321e-01 +5.5879e-01 +7.5180e-01 +4.8462e-01
2576 +1.572116831e+02 +1.572116831e+02 +2.505116831e+02 +2.505116831e+02 +4.2968e-01 +3.5449e-01 +9.5156e-01 +7.6305e-01 +9.1661e-01 +1.5966e-01 +6.9270e-01 +2.3379e-01 +9.1943e-01 +5.0090e-01 +2.0324e-01 +6.6316e-01 +3.7669e-01 +3.7624e-01 +4.5955e-01 +3.0111e-01 +3.5809e-01 +2.6661e-02 +6.8410e-01 +4.8677e-01
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.432370261e+02 +3.432370261e+02 +3.568770261e+02 +3.568770261e+02 +5.4009e-01 +2.1945e-01 +2.7799e-01 +7.2903e-01 +4.5834e-01 +8.9536e-01 +9.0249e-02 +7.7802e-01 +2.0735e-01 +2.9243e-01 +7.7394e-01 +6.1610e-01 +5.0876e-01 +4.8417e-01 +4.6914e-01 +5.2931e-01 +1.7762e-01 +2.2378e-02 +3.9522e-01 +4.8081e-01
14 +2.363472890e+02 +2.363472890e+02 +2.499872890e+02 +2.499872890e+02 +7.4214e-01 +8.4675e-01 +9.9793e-01 +3.5550e-01 +8.1268e-02 +5.0457e-01 +4.3809e-01 +1.9345e-02 +3.0961e-01 +8.6381e-01 +7.7795e-01 +8.4871e-01 +1.5077e-02 +8.8752e-01 +5.9623e-01 +5.7548e-01 +9.0448e-01 +3.8198e-01 +7.3447e-01 +7.4078e-01
7208 +1.568603268e+02 +1.568603268e+02 +1.705003268e+02 +1.705003268e+02 +9.4829e-01 +4.6462e-03 +3.8819e-01 +1.5773e-01 +4.6228e-02 +3.1436e-01 +4.3396e-01 +9.8202e-01 +4.5833e-01 +1.0000e+00 +3.3257e-01 +5.2795e-02 +4.8257e-01 +5.7192e-01 +5.3390e-01 +5.1371e-01 +9.2603e-01 +2.6311e-01 +6.0206e-01 +5.0365e-02
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.435664319e+02 +3.435664319e+02 +5.383664319e+02 +5.383664319e+02 +7.0476e-01 +4.9579e-01 +4.9093e-01 +8.3039e-01 +6.2649e-01 +1.4795e-01 +4.7257e-01 +8.6169e-01 +2.7892e-01 +3.6031e-01 +6.1330e-02 +7.4851e-01 +7.8317e-01 +2.7230e-01 +6.5932e-01 +7.1337e-02 +2.9362e-01 +1.1800e-01 +8.0257e-01 +8.5862e-01
