% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831488748e+03 +1.831488748e+03 +1.861458748e+03 +1.861458748e+03 +6.9375e-01 +2.9416e-01 +5.1907e-01 +5.1646e-01 +3.7165e-01 +3.3509e-01 +6.1130e-01 +3.2205e-01 +5.4989e-01 +1.9418e-01 +5.2688e-01 +3.5079e-01 +8.9595e-01 +3.0759e-02 +1.5998e-01 +8.8798e-01 +5.3788e-01 +4.4225e-01 +8.0586e-01 +7.5076e-02
142 +1.582184500e+03 +1.582184500e+03 +1.612154500e+03 +1.612154500e+03 +9.6485e-01 +2.7202e-01 +4.8325e-03 +1.7555e-01 +1.0000e+00 +1.4294e-03 +1.2825e-02 +0.0000e+00 +6.8778e-01 +0.0000e+00 +9.7151e-01 +0.0000e+00 +1.0000e+00 +1.0000e+00 +4.2926e-01 +1.0000e+00 +1.5771e-01 +0.0000e+00 +1.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.311502155e+03 +2.311502155e+03 +2.259792155e+03 +2.259792155e+03 +6.6167e-01 +8.2638e-01 +3.7683e-02 +3.9051e-01 +8.7200e-01 +8.6295e-01 +3.0809e-01 +7.0013e-02 +2.8823e-01 +3.7196e-03 +8.7039e-01 +1.7236e-01 +3.5522e-01 +5.2892e-01 +9.4804e-01 +6.0865e-01 +1.7900e-01 +4.5030e-01 +2.0719e-01 +6.6738e-01
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.160749418e+03 +2.160749418e+03 +1.880799418e+03 +1.880799418e+03 +2.6789e-02 +3.9401e-01 +1.5344e-02 +6.8969e-01 +6.1884e-01 +6.1293e-01 +5.3578e-01 +7.2764e-01 +6.0893e-01 +5.2418e-01 +3.1095e-01 +1.1956e-01 +8.3232e-01 +8.6598e-01 +5.5179e-01 +6.0282e-01 +8.4701e-01 +8.8150e-01 +2.2440e-02 +2.3512e-01
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.905202353e+03 +1.905202353e+03 +2.837192353e+03 +2.837192353e+03 +3.6418e-01 +5.6542e-01 +9.1197e-01 +6.7863e-01 +2.1369e-01 +5.2061e-01 +6.8175e-01 +6.0765e-01 +9.1708e-01 +9.7555e-01 +5.6508e-01 +4.0941e-01 +8.2807e-01 +6.6696e-01 +6.9581e-01 +6.0656e-01 +5.7254e-01 +3.3442e-01 +8.3628e-01 +1.9858e-01
212 +1.575351090e+03 +1.575351090e+03 +2.507341090e+03 +2.507341090e+03 +1.0000e+00 +9.9189e-01 +1.0000e+00 +0.0000e+00 +1.0000e+00 +0.0000e+00 +8.5017e-01 +1.4452e-01 +1.6497e-01 +7.7599e-01 +1.0000e+00 +1.2315e-02 +0.0000e+00 +1.3532e-04 +1.0000e+00 +1.0000e+00 +0.0000e+00 +7.2689e-03 +4.6347e-01 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (1.133100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.106046500e+03 +2.106046500e+03 +2.219356500e+03 +2.219356500e+03 +3.9661e-01 +8.4614e-01 +4.3162e-01 +6.0341e-01 +3.8181e-01 +5.4598e-01 +8.3991e-01 +3.5424e-01 +2.4695e-01 +5.1773e-01 +5.1586e-01 +3.7673e-01 +1.1121e-01 +9.3513e-01 +4.3576e-01 +2.8935e-01 +1.7478e-01 +3.5401e-01 +9.2341e-02 +3.9347e-01
318 +1.578779392e+03 +1.578779392e+03 +1.692089392e+03 +1.692089392e+03 +1.0000e+00 +1.0000e+00 +1.0000e+00 +1.0000e+00 +9.8884e-01 +1.5993e-02 +0.0000e+00 +2.4175e-02 +1.0000e+00 +0.0000e+00 +1.5437e-02 +9.3345e-01 +0.0000e+00 +0.0000e+00 +3.9614e-02 +9.3623e-01 +9.9913e-01 +9.9857e-01 +0.0000e+00 +5.3596e-02
% function evaluation | noise-free fitness - Fopt (-9.519000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.408212609e+03 +2.408212609e+03 +2.313022609e+03 +2.313022609e+03 +1.0193e-01 +7.7385e-02 +8.1237e-02 +7.8466e-01 +3.1904e-01 +8.4395e-01 +3.1150e-01 +9.2730e-01 +3.3774e-01 +4.3678e-01 +3.8434e-01 +1.2099e-01 +6.0173e-01 +1.3954e-01 +3.9602e-02 +5.9365e-01 +6.0043e-01 +5.1302e-01 +3.1027e-01 +5.4046e-01
% function evaluation | noise-free fitness - Fopt (-7.663000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
