% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.311701488e+03 +1.311701488e+03 +8.496114881e+02 +8.496114881e+02 +3.5933e-01 +5.2282e-01 +2.9896e-02 +6.6688e-01 +7.4136e-02 +2.2149e-01 +3.4074e-01 +2.7665e-01 +4.5590e-01 +3.9501e-01 +8.9183e-01 +8.0941e-01 +7.6495e-01 +1.7099e-01 +6.4636e-01 +8.2634e-01 +2.0926e-01 +1.6442e-01 +4.1519e-01 +5.4962e-01
35 +9.346816504e+02 +9.346816504e+02 +4.725916504e+02 +4.725916504e+02 +4.2782e-01 +7.0809e-01 +9.7443e-01 +9.7018e-02 +9.7970e-01 +6.7548e-01 +4.6115e-01 +2.1851e-01 +1.3602e-01 +2.0685e-01 +3.0966e-01 +0.0000e+00 +5.3049e-01 +4.3236e-01 +3.8344e-01 +0.0000e+00 +7.3717e-01 +1.1330e-01 +0.0000e+00 +3.2113e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.267201387e+03 +1.267201387e+03 +1.344861387e+03 +1.344861387e+03 +2.9935e-01 +6.0309e-01 +7.1982e-01 +9.5623e-01 +3.3590e-01 +1.5703e-01 +8.3108e-01 +7.1940e-01 +2.4844e-01 +5.3736e-01 +7.6929e-01 +5.6199e-01 +1.2652e-01 +1.2095e-01 +3.0852e-01 +1.0863e-01 +5.7528e-01 +3.7244e-02 +1.5820e-01 +8.7456e-01
37 +9.846539336e+02 +9.846539336e+02 +1.062313934e+03 +1.062313934e+03 +6.8843e-01 +4.6602e-01 +7.9595e-01 +5.7862e-01 +6.4534e-01 +0.0000e+00 +4.6036e-01 +1.0000e+00 +1.0000e+00 +0.0000e+00 +3.3199e-01 +2.7193e-01 +4.6584e-02 +5.0035e-01 +3.5730e-01 +4.1384e-01 +1.0206e-01 +2.9900e-01 +1.8017e-01 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.519783062e+02 +9.519783062e+02 +1.067658306e+03 +1.067658306e+03 +2.1112e-02 +9.3645e-02 +2.1949e-02 +7.7498e-01 +7.3780e-01 +8.2731e-01 +3.2845e-01 +2.6491e-01 +4.1595e-01 +3.5502e-02 +1.1667e-01 +3.9527e-01 +3.9002e-01 +5.2679e-01 +9.2429e-02 +3.3349e-01 +1.7753e-01 +1.2872e-01 +4.1578e-01 +3.4643e-01
378 +6.210781535e+02 +6.210781535e+02 +7.367581535e+02 +7.367581535e+02 +1.6860e-01 +1.0636e-02 +1.3951e-01 +6.1495e-01 +5.7166e-02 +7.1421e-01 +5.7565e-02 +4.3356e-01 +0.0000e+00 +4.2983e-01 +8.5279e-03 +1.1114e-01 +0.0000e+00 +1.0000e+00 +4.6140e-02 +3.8570e-02 +9.8736e-01 +9.9027e-01 +9.4660e-01 +1.7665e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.276074088e+02 +9.276074088e+02 +9.238974088e+02 +9.238974088e+02 +3.5151e-01 +8.2319e-01 +7.0278e-01 +1.2643e-01 +6.9141e-01 +6.5846e-01 +8.5787e-01 +6.7442e-01 +4.8058e-01 +8.8592e-01 +3.3701e-01 +8.2880e-01 +5.3594e-01 +1.2126e-02 +1.7389e-01 +1.7629e-01 +4.1970e-01 +9.8463e-01 +9.8673e-01 +4.0251e-01
2584 +6.300958022e+02 +6.300958022e+02 +6.263858022e+02 +6.263858022e+02 +9.9287e-01 +2.9490e-01 +2.5163e-01 +5.5421e-01 +7.2515e-01 +6.6649e-01 +8.9469e-01 +2.6171e-01 +2.4271e-01 +6.7447e-01 +0.0000e+00 +9.9858e-01 +9.9104e-01 +4.0269e-02 +5.0546e-01 +0.0000e+00 +6.9026e-01 +7.5677e-01 +7.7555e-01 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.859444348e+02 +6.859444348e+02 +8.181244348e+02 +8.181244348e+02 +2.8024e-01 +4.3204e-01 +3.9057e-01 +9.7117e-01 +6.4779e-01 +8.3844e-01 +3.6297e-02 +4.7622e-01 +8.5579e-01 +2.2594e-01 +1.9292e-01 +8.3693e-01 +3.3270e-01 +9.0243e-01 +9.2222e-01 +6.9845e-01 +5.6907e-01 +4.9783e-01 +4.9160e-02 +7.9361e-01
3 +6.281019810e+02 +6.281019810e+02 +7.602819810e+02 +7.602819810e+02 +7.7431e-01 +3.7115e-01 +9.4062e-01 +2.4977e-01 +4.8783e-01 +4.1837e-01 +5.7320e-01 +8.7818e-02 +6.4654e-01 +9.5922e-01 +8.9148e-01 +2.5703e-01 +1.6721e-01 +4.8235e-01 +1.5049e-01 +7.5942e-01 +5.0109e-01 +2.8642e-01 +3.3062e-01 +6.1388e-01
