% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.109760206e+03 +3.109760206e+03 +3.233590206e+03 +3.233590206e+03 +5.3150e-01 +7.7795e-01 +4.6833e-01 +1.2324e-01 +7.9603e-01 +5.5671e-02 +3.1835e-01 +4.9972e-01 +6.4213e-01 +8.6486e-01 +5.6961e-01 +2.8093e-02 +8.9694e-01 +7.3980e-01 +7.4565e-01 +6.5247e-01 +9.5922e-01 +4.8699e-01 +5.7520e-01 +1.3311e-01
2 +2.201943995e+03 +2.201943995e+03 +2.325773995e+03 +2.325773995e+03 +1.4739e-01 +1.8352e-03 +4.6964e-01 +2.7939e-02 +6.3852e-02 +5.2702e-01 +6.2428e-01 +7.3850e-01 +6.6161e-01 +8.1866e-01 +1.3980e-02 +6.9311e-01 +7.3499e-01 +6.1654e-01 +9.8075e-01 +2.1329e-02 +9.8508e-01 +5.6860e-01 +9.3444e-01 +7.7410e-01
8 +1.269908555e+03 +1.269908555e+03 +1.393738555e+03 +1.393738555e+03 +5.4353e-01 +5.4577e-01 +9.0506e-01 +6.8807e-01 +1.1318e-01 +2.9067e-01 +4.3743e-01 +4.1532e-02 +2.6438e-01 +3.3646e-01 +2.5632e-01 +7.3167e-01 +6.0794e-01 +2.1986e-01 +6.8783e-02 +6.8016e-01 +4.2178e-01 +4.6513e-01 +5.8115e-01 +8.3604e-01
69 +9.740854561e+02 +9.740854561e+02 +1.097915456e+03 +1.097915456e+03 +6.5356e-03 +4.6645e-01 +9.0938e-01 +6.6801e-01 +0.0000e+00 +3.2483e-01 +1.0000e+00 +4.4135e-02 +3.2696e-01 +5.4707e-02 +3.2408e-01 +5.3714e-01 +8.1405e-01 +7.1669e-01 +0.0000e+00 +1.0000e+00 +2.0013e-01 +6.4144e-02 +5.9437e-01 +3.7908e-01
104 +5.616007646e+02 +5.616007646e+02 +6.854307646e+02 +6.854307646e+02 +0.0000e+00 +0.0000e+00 +1.1199e-01 +1.9187e-01 +0.0000e+00 +9.0403e-02 +1.0000e+00 +2.9152e-01 +7.8601e-02 +1.6471e-01 +0.0000e+00 +4.5557e-01 +4.7460e-01 +3.3091e-01 +4.7463e-01 +5.1153e-01 +1.3878e-01 +0.0000e+00 +8.6759e-01 +1.0000e+00
169 +3.673216535e+02 +3.673216535e+02 +4.911516535e+02 +4.911516535e+02 +1.9875e-03 +1.7955e-02 +0.0000e+00 +2.2225e-01 +1.6953e-02 +2.6149e-01 +9.7904e-01 +8.4778e-01 +1.1416e-01 +1.3690e-01 +3.7909e-01 +1.5779e-02 +4.5459e-01 +0.0000e+00 +7.3567e-01 +3.0077e-01 +1.6270e-01 +2.3656e-03 +1.4239e-01 +1.0000e+00
227 +2.481379626e+02 +2.481379626e+02 +3.719679626e+02 +3.719679626e+02 +9.0955e-04 +3.5846e-02 +0.0000e+00 +0.0000e+00 +1.7306e-04 +5.3781e-01 +9.4041e-01 +6.2361e-01 +1.6589e-01 +0.0000e+00 +1.7063e-01 +0.0000e+00 +4.6482e-01 +0.0000e+00 +4.5186e-01 +5.6077e-02 +4.3418e-01 +1.6543e-02 +1.7506e-02 +1.0000e+00
916 +1.577872487e+02 +1.577872487e+02 +2.816172487e+02 +2.816172487e+02 +9.8507e-03 +3.1733e-03 +1.8776e-02 +0.0000e+00 +6.1585e-04 +4.9450e-01 +9.2979e-01 +4.0838e-01 +1.8323e-04 +4.4598e-03 +2.5770e-02 +0.0000e+00 +3.2268e-01 +1.5118e-03 +5.5428e-01 +2.2173e-01 +1.8255e-03 +3.4511e-01 +1.5462e-03 +6.3814e-01
% function evaluation | noise-free fitness - Fopt (4.751000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.190832323e+03 +1.190832323e+03 +1.238342323e+03 +1.238342323e+03 +7.8111e-01 +4.3653e-01 +6.3301e-01 +2.6068e-01 +1.0343e-01 +9.5037e-01 +6.3708e-01 +8.3251e-01 +6.8358e-01 +6.4892e-01 +7.5263e-01 +2.9189e-01 +9.9325e-02 +2.6804e-01 +5.2374e-01 +4.8089e-01 +6.2982e-01 +2.5875e-01 +8.4165e-01 +8.6210e-01
6 +9.064923088e+02 +9.064923088e+02 +9.540023088e+02 +9.540023088e+02 +3.9777e-01 +4.0214e-02 +4.5730e-01 +3.6842e-01 +4.6385e-01 +4.8066e-01 +1.3037e-01 +4.4134e-01 +2.1808e-01 +5.9299e-01 +9.4110e-01 +8.5583e-01 +1.2899e-01 +2.7461e-02 +7.9303e-02 +6.3249e-01 +5.6386e-01 +7.2353e-02 +5.5280e-01 +4.5429e-01
52 +4.234700646e+02 +4.234700646e+02 +4.709800646e+02 +4.709800646e+02 +7.6462e-01 +9.7152e-02 +9.8156e-02 +0.0000e+00 +3.6030e-01 +5.0000e-01 +8.8129e-01 +5.0000e-01 +4.6590e-02 +5.3367e-01 +5.8268e-01 +0.0000e+00 +9.0383e-01 +6.1124e-02 +5.0841e-01 +7.0882e-01 +1.8507e-01 +3.2398e-01 +3.6907e-01 +0.0000e+00
73 +2.534387116e+02 +2.534387116e+02 +3.009487116e+02 +3.009487116e+02 +6.6056e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.6056e-01 +1.3924e-01 +9.1734e-01 +3.9084e-01 +0.0000e+00 +4.4399e-01 +8.0678e-01 +0.0000e+00 +5.1040e-01 +0.0000e+00 +4.5176e-01 +8.3212e-01 +2.4000e-01 +2.1735e-01 +2.6671e-01 +0.0000e+00
156 +2.448892492e+02 +2.448892492e+02 +2.923992492e+02 +2.923992492e+02 +4.4598e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +5.6470e-01 +1.0262e-01 +1.0000e+00 +7.4745e-02 +0.0000e+00 +5.9444e-02 +6.7369e-01 +0.0000e+00 +8.9056e-01 +0.0000e+00 +3.6263e-01 +9.2016e-01 +1.2597e-01 +1.7159e-01 +3.0874e-01 +0.0000e+00
218 +1.517856814e+02 +1.517856814e+02 +1.992956814e+02 +1.992956814e+02 +2.6306e-01 +2.0790e-02 +0.0000e+00 +7.3180e-03 +5.7220e-01 +6.1500e-03 +9.6654e-01 +1.2266e-01 +4.8862e-02 +1.7659e-01 +2.1790e-01 +0.0000e+00 +1.8014e-01 +2.5493e-03 +3.1624e-01 +7.0602e-01 +0.0000e+00 +1.0096e-01 +5.0741e-01 +1.0591e-01
471 +9.893935134e+01 +9.893935134e+01 +1.464493513e+02 +1.464493513e+02 +1.2176e-01 +0.0000e+00 +6.8445e-04 +7.5438e-04 +3.1394e-01 +2.8597e-01 +1.0000e+00 +2.1674e-02 +4.3935e-02 +1.0503e-01 +2.3038e-01 +2.2377e-01 +4.2995e-02 +3.0226e-04 +2.2055e-01 +2.2413e-01 +1.9646e-03 +2.0188e-01 +1.6084e-01 +3.4853e-01
% function evaluation | noise-free fitness - Fopt (5.534000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.818008739e+03 +2.818008739e+03 +2.873348739e+03 +2.873348739e+03 +9.8304e-01 +1.4259e-01 +2.4633e-01 +8.0317e-01 +8.9899e-01 +2.8318e-01 +2.1785e-01 +3.6950e-01 +6.1549e-01 +8.4699e-01 +2.8720e-01 +7.3993e-01 +9.8291e-02 +9.2674e-02 +9.0306e-01 +2.3199e-01 +9.4859e-01 +7.2969e-01 +8.2153e-01 +2.3121e-01
3 +1.777948579e+03 +1.777948579e+03 +1.833288579e+03 +1.833288579e+03 +1.6822e-01 +5.4862e-01 +7.4348e-01 +3.2099e-01 +7.5141e-01 +7.8711e-01 +1.5984e-01 +4.9293e-01 +6.0694e-01 +4.3670e-01 +8.8019e-01 +1.1730e-01 +9.3993e-01 +1.4672e-01 +2.0613e-01 +1.7005e-01 +4.5237e-01 +6.4754e-01 +2.8626e-01 +7.7050e-02
6 +1.030460125e+03 +1.030460125e+03 +1.085800125e+03 +1.085800125e+03 +7.4015e-01 +4.5925e-01 +2.2238e-01 +5.7570e-01 +3.3511e-01 +1.4868e-01 +2.8588e-01 +3.6346e-01 +2.4185e-01 +1.6390e-01 +4.4167e-01 +7.4177e-01 +2.1975e-01 +5.4063e-03 +3.9665e-01 +8.3796e-01 +9.5326e-01 +5.2708e-01 +7.6345e-01 +2.9009e-02
44 +9.455705723e+02 +9.455705723e+02 +1.000910572e+03 +1.000910572e+03 +8.7929e-01 +3.8975e-01 +3.9484e-02 +4.3058e-01 +5.1450e-01 +0.0000e+00 +3.8853e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +8.3900e-01 +9.9590e-01 +0.0000e+00 +0.0000e+00 +2.8466e-01 +5.8108e-01 +9.5256e-01 +4.1392e-01 +2.4573e-01 +0.0000e+00
122 +5.665948828e+02 +5.665948828e+02 +6.219348828e+02 +6.219348828e+02 +8.1380e-01 +0.0000e+00 +3.3729e-01 +6.4197e-01 +3.3449e-02 +8.4928e-02 +6.7899e-01 +4.2879e-01 +1.5454e-01 +4.5163e-04 +6.9909e-01 +1.0000e+00 +4.0174e-01 +5.0446e-03 +3.1537e-01 +6.0042e-02 +5.0000e-01 +6.7226e-01 +7.5019e-02 +4.7835e-02
128 +3.907764973e+02 +3.907764973e+02 +4.461164973e+02 +4.461164973e+02 +0.0000e+00 +3.2096e-01 +3.2749e-01 +3.8569e-01 +7.2969e-02 +6.2807e-01 +5.2100e-01 +4.5446e-01 +1.7154e-01 +1.6497e-01 +3.1347e-01 +8.2874e-01 +1.5992e-01 +8.0387e-02 +6.6722e-02 +0.0000e+00 +8.5621e-01 +1.7926e-01 +3.4466e-02 +9.3108e-02
