% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.264699040e+01 +4.264699040e+01 -9.703009600e+00 -9.703009600e+00 +3.1677e-01 +4.5711e-01 +8.6985e-01 +4.4244e-01 +6.9343e-02 +9.9264e-01 +6.4177e-01 +6.9799e-01 +2.6389e-01 +6.1523e-01 +3.6810e-01 +4.3088e-01 +5.5424e-01 +2.9941e-01 +8.6966e-01 +6.9762e-01 +6.6556e-01 +2.5261e-01 +8.3097e-01 +9.5632e-01
3 +3.895785882e+01 +3.895785882e+01 -1.339214118e+01 -1.339214118e+01 +7.3627e-01 +4.6818e-01 +7.8475e-01 +7.7554e-01 +2.1018e-01 +8.5502e-01 +7.2602e-01 +9.7890e-01 +3.7921e-01 +6.4205e-01 +1.2385e-01 +4.8391e-01 +4.2763e-01 +5.0263e-01 +5.9174e-01 +2.2971e-01 +2.4919e-01 +3.1808e-02 +9.2006e-01 +2.9765e-01
201 +2.496719349e+01 +2.496719349e+01 -2.738280651e+01 -2.738280651e+01 +1.2695e-03 +7.4714e-02 +8.6344e-01 +1.2616e-02 +0.0000e+00 +1.0000e+00 +1.0004e-01 +3.4010e-02 +8.5992e-01 +0.0000e+00 +7.4066e-01 +5.0000e-01 +1.9626e-01 +9.0897e-02 +8.8610e-01 +5.0217e-01 +5.0000e-01 +9.5440e-02 +1.0000e+00 +5.9025e-03
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.050495827e+01 +3.050495827e+01 -1.490350417e+02 -1.490350417e+02 +1.7932e-01 +9.8779e-01 +1.8650e-01 +8.6939e-01 +6.5702e-01 +8.6222e-01 +9.0968e-01 +6.4772e-01 +5.5190e-01 +8.4947e-01 +1.8845e-01 +9.8171e-01 +5.0378e-01 +2.2606e-01 +5.4273e-01 +7.4277e-02 +1.9078e-01 +4.7120e-01 +2.8109e-01 +7.6362e-01
100 +2.511343231e+01 +2.511343231e+01 -1.544265677e+02 -1.544265677e+02 +4.7697e-01 +8.7967e-01 +2.4840e-02 +1.0000e+00 +7.0942e-01 +4.8965e-01 +6.4495e-01 +1.0000e+00 +9.3039e-01 +8.1216e-01 +0.0000e+00 +5.5332e-01 +3.2333e-01 +9.8308e-01 +1.0000e+00 +2.3968e-02 +2.6997e-02 +1.0000e+00 +1.6143e-01 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (7.731000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.803239979e+01 +1.803239979e+01 +9.534239979e+01 +9.534239979e+01 +3.3207e-01 +1.0772e-01 +2.9258e-01 +8.9467e-01 +8.1835e-01 +7.3342e-01 +3.4730e-01 +4.9951e-01 +9.9807e-01 +4.5817e-01 +5.8551e-01 +1.0375e-01 +7.7709e-01 +4.3200e-01 +1.9192e-01 +3.7554e-01 +4.8563e-01 +3.8404e-01 +6.5661e-01 +1.2805e-01
26 +1.431506632e+01 +1.431506632e+01 +9.162506632e+01 +9.162506632e+01 +1.0000e+00 +3.5638e-01 +4.1250e-01 +1.0933e-01 +8.1537e-01 +3.4732e-01 +4.5383e-01 +4.3239e-01 +0.0000e+00 +4.2672e-01 +3.4294e-01 +5.7008e-01 +4.1475e-01 +3.6021e-02 +8.3453e-01 +3.2927e-01 +0.0000e+00 +9.1780e-01 +8.0602e-01 +3.6876e-01
391 +9.980985320e+00 +9.980985320e+00 +8.729098532e+01 +8.729098532e+01 +9.9875e-01 +4.5176e-02 +0.0000e+00 +1.1954e-04 +9.8954e-01 +1.9697e-04 +1.0000e+00 +0.0000e+00 +9.5282e-01 +1.0000e+00 +9.0562e-01 +3.8339e-01 +9.9550e-03 +3.3487e-02 +6.8405e-01 +1.0000e+00 +7.2595e-02 +9.9440e-01 +9.9042e-01 +7.0874e-01
