% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.639643176e+02 +1.639643176e+02 +1.470243176e+02 +1.470243176e+02 +7.3176e-01 +1.4394e-01 +4.6455e-01 +4.0130e-01 +9.8155e-01 +8.3905e-01 +8.9806e-01 +7.3317e-01 +8.5369e-01 +9.6311e-01 +3.5231e-01 +5.5715e-01 +7.0970e-01 +6.0902e-01 +3.1562e-01 +6.8222e-01 +2.0606e-01 +1.7160e-01 +3.2357e-01 +6.7051e-01
2 +1.360697233e+02 +1.360697233e+02 +1.191297233e+02 +1.191297233e+02 +3.0475e-01 +6.9218e-02 +2.5640e-01 +7.6168e-01 +6.3390e-01 +1.7139e-01 +4.9424e-01 +5.6607e-01 +6.3270e-01 +1.7521e-01 +3.5580e-01 +8.2583e-01 +6.4689e-01 +2.0030e-01 +9.9195e-01 +6.2255e-01 +9.1825e-01 +2.7470e-01 +8.7029e-01 +1.9793e-01
31 +9.620168716e+01 +9.620168716e+01 +7.926168716e+01 +7.926168716e+01 +7.6085e-01 +6.9404e-01 +2.6866e-01 +6.4013e-01 +7.1180e-01 +1.0000e+00 +9.2223e-01 +5.1887e-01 +3.3106e-01 +3.3894e-01 +7.3452e-01 +7.5664e-02 +3.0819e-01 +3.3716e-01 +6.7618e-01 +2.1151e-01 +1.7199e-01 +4.6009e-01 +2.9408e-01 +1.0000e+00
730 +6.238749406e+01 +6.238749406e+01 +4.544749406e+01 +4.544749406e+01 +9.9103e-01 +6.5956e-01 +1.5387e-01 +5.4424e-01 +7.1109e-01 +8.3471e-01 +9.9121e-01 +4.4032e-01 +6.8575e-01 +2.9881e-01 +4.4889e-01 +8.7423e-01 +3.0569e-02 +5.9337e-02 +8.0922e-01 +9.9560e-01 +0.0000e+00 +5.2305e-01 +2.1164e-01 +8.9846e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.961616794e+01 +4.961616794e+01 +6.842616794e+01 +6.842616794e+01 +7.6341e-01 +9.6566e-01 +3.0877e-01 +4.3552e-01 +7.6234e-02 +3.3135e-02 +2.2344e-02 +4.2674e-01 +5.2722e-01 +9.6276e-01 +6.7273e-01 +6.7903e-01 +9.9024e-01 +7.3280e-01 +7.0529e-01 +7.8684e-01 +3.3605e-01 +4.7492e-01 +5.4938e-01 +9.2440e-01
37 +3.831378480e+01 +3.831378480e+01 +5.712378480e+01 +5.712378480e+01 +5.6389e-01 +9.7327e-01 +9.8180e-02 +0.0000e+00 +6.1719e-01 +1.3961e-01 +8.7750e-01 +9.1165e-01 +5.3996e-01 +4.0570e-01 +9.6675e-01 +7.8055e-01 +5.6101e-01 +5.3804e-01 +5.0834e-01 +2.4755e-01 +4.2635e-01 +7.8240e-01 +2.2919e-01 +7.7443e-01
1302 +2.504205917e+01 +2.504205917e+01 +4.385205917e+01 +4.385205917e+01 +5.9847e-02 +2.7755e-02 +3.3072e-01 +3.8925e-01 +5.6326e-01 +4.2868e-01 +1.0000e+00 +9.7455e-01 +2.2299e-01 +5.1790e-01 +4.5359e-01 +4.5622e-01 +2.6840e-01 +4.1365e-01 +3.4014e-01 +7.5299e-03 +1.0000e+00 +9.9999e-01 +1.7900e-01 +6.9515e-01
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.939473790e+02 +1.939473790e+02 +4.670973790e+02 +4.670973790e+02 +1.0431e-03 +9.9926e-01 +9.4382e-01 +6.3859e-03 +1.8649e-01 +9.9802e-01 +3.7993e-01 +6.3851e-01 +6.4395e-02 +7.7827e-01 +5.6100e-01 +9.7527e-01 +4.5885e-01 +5.4867e-01 +7.2375e-01 +2.1891e-01 +7.4603e-01 +1.8114e-01 +8.9852e-01 +6.6070e-01
25 +1.468502855e+02 +1.468502855e+02 +4.200002855e+02 +4.200002855e+02 +4.3985e-01 +2.2569e-01 +1.9544e-01 +1.3077e-01 +4.5951e-01 +8.4199e-02 +4.1213e-01 +5.9076e-01 +4.8464e-02 +6.4225e-01 +1.0000e+00 +7.2448e-01 +4.4638e-01 +9.5722e-01 +7.4913e-01 +3.2420e-01 +5.8272e-01 +8.7599e-01 +7.0279e-01 +3.4646e-01
2715 +9.975163751e+01 +9.975163751e+01 +3.729016375e+02 +3.729016375e+02 +3.8679e-05 +6.7994e-01 +9.6439e-01 +0.0000e+00 +8.3974e-01 +9.2466e-04 +1.5065e-01 +1.0000e+00 +2.5990e-01 +1.0000e+00 +9.6334e-01 +1.0000e+00 +4.9576e-01 +1.1056e-01 +5.6511e-03 +0.0000e+00 +9.4033e-01 +9.1247e-01 +7.4295e-02 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.439391829e+01 +3.439391829e+01 +7.157391829e+01 +7.157391829e+01 +8.0365e-02 +7.3707e-01 +7.8999e-01 +5.9585e-01 +2.7567e-01 +2.5234e-01 +7.2263e-01 +1.7768e-01 +8.0730e-01 +3.5115e-01 +6.6822e-01 +5.5642e-01 +4.9312e-01 +4.6107e-01 +1.4761e-01 +5.3675e-01 +2.9393e-01 +6.0669e-01 +1.3200e-01 +7.2120e-01
1272 +2.510305196e+01 +2.510305196e+01 +6.228305196e+01 +6.228305196e+01 +2.8674e-01 +6.8267e-01 +6.1950e-01 +1.2856e-01 +0.0000e+00 +3.4542e-01 +2.3090e-02 +7.3579e-01 +4.6576e-01 +5.0546e-01 +3.3327e-01 +5.2685e-01 +1.9753e-01 +6.1226e-02 +4.0756e-01 +8.7707e-01 +9.4529e-01 +6.4480e-02 +2.1681e-01 +4.6346e-01
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.283497454e+01 +6.283497454e+01 -8.506502546e+01 -8.506502546e+01 +4.8511e-01 +9.9181e-01 +5.5541e-01 +6.1264e-01 +7.8503e-01 +4.9197e-01 +2.8283e-01 +9.0064e-01 +2.8110e-01 +9.3915e-01 +6.8012e-02 +4.2116e-01 +1.2418e-01 +4.3803e-01 +4.4134e-01 +9.1941e-01 +4.1264e-01 +9.2665e-01 +3.2305e-01 +8.1480e-01
213 +3.651356042e+01 +3.651356042e+01 -1.113864396e+02 -1.113864396e+02 +4.9731e-01 +1.4799e-01 +2.2169e-02 +5.6537e-01 +2.7125e-01 +7.0929e-01 +6.3405e-01 +4.1204e-01 +7.8473e-01 +1.6330e-02 +3.0070e-01 +9.3479e-01 +8.2993e-01 +8.4606e-01 +2.0064e-01 +1.4996e-01 +2.9461e-01 +3.1833e-01 +4.2897e-01 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.822944570e+01 +7.822944570e+01 +1.944894457e+02 +1.944894457e+02 +8.6048e-01 +5.4742e-01 +6.4748e-01 +2.1835e-01 +5.9068e-01 +8.4409e-01 +7.2701e-01 +2.8645e-01 +4.2425e-01 +4.8475e-01 +2.3586e-01 +9.0021e-01 +6.0411e-01 +1.5690e-01 +8.6127e-01 +3.6974e-01 +7.4145e-01 +6.4655e-02 +7.7144e-01 +6.8845e-01
3 +6.105732696e+01 +6.105732696e+01 +1.773173270e+02 +1.773173270e+02 +9.3301e-01 +8.0507e-01 +4.6835e-01 +4.4254e-01 +1.9010e-03 +9.7505e-01 +5.3576e-01 +4.4458e-01 +5.4562e-01 +7.2807e-01 +7.2875e-01 +5.1719e-01 +4.3434e-01 +4.8922e-01 +9.4933e-01 +1.5227e-01 +9.8182e-02 +3.7717e-01 +7.0876e-01 +1.1698e-01
104 +3.764747047e+01 +3.764747047e+01 +1.539074705e+02 +1.539074705e+02 +4.8481e-01 +1.0408e-01 +6.8522e-01 +4.7545e-01 +2.0983e-01 +1.5653e-01 +6.0074e-01 +9.7670e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.5168e-01 +7.5723e-01 +3.8263e-01 +2.2090e-01 +1.0000e+00 +1.0000e+00 +1.9717e-01 +2.9470e-01 +1.3135e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.236977199e+01 +6.236977199e+01 -9.376302280e+02 -9.376302280e+02 +3.6536e-01 +7.4723e-01 +9.0156e-01 +6.1092e-01 +5.0002e-01 +2.3593e-02 +5.9138e-01 +8.6965e-01 +8.5635e-01 +4.6088e-01 +1.9613e-01 +5.2885e-01 +4.5208e-01 +3.3817e-01 +9.6808e-01 +9.7039e-01 +4.1568e-01 +6.5167e-02 +1.4765e-01 +7.2583e-02
100 +3.866947820e+01 +3.866947820e+01 -9.613305218e+02 -9.613305218e+02 +1.6659e-01 +1.0000e+00 +5.8614e-01 +8.6626e-01 +6.9548e-01 +4.6136e-01 +5.1623e-01 +6.5093e-01 +5.6216e-01 +7.7534e-01 +5.5854e-01 +1.2966e-01 +3.7029e-01 +3.7478e-01 +9.0527e-01 +1.0267e-01 +7.7863e-01 +3.3207e-01 +1.9121e-01 +4.6387e-01
% function evaluation | noise-free fitness - Fopt (-9.193000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.558040186e+01 +9.558040186e+01 +3.650401860e+00 +3.650401860e+00 +8.6932e-01 +1.3162e-01 +8.0954e-02 +4.8353e-01 +4.5741e-01 +4.5261e-01 +7.9747e-01 +8.2404e-01 +3.6721e-01 +4.9776e-01 +5.4203e-01 +2.4462e-01 +9.4595e-01 +8.7090e-01 +4.7982e-01 +6.6675e-01 +7.5229e-02 +8.9672e-01 +4.6900e-01 +4.0444e-01
321 +6.013895930e+01 +6.013895930e+01 -3.179104070e+01 -3.179104070e+01 +2.6513e-01 +9.8106e-02 +7.1465e-01 +1.0000e+00 +7.4606e-02 +9.7251e-01 +9.2834e-02 +8.2812e-01 +6.0884e-01 +0.0000e+00 +8.6077e-01 +6.9752e-01 +0.0000e+00 +6.2230e-01 +5.2253e-01 +2.8243e-01 +0.0000e+00 +1.0000e+00 +3.4116e-01 +6.2435e-01
% function evaluation | noise-free fitness - Fopt (1.487500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.501552146e+01 +7.501552146e+01 +2.237655215e+02 +2.237655215e+02 +1.2807e-01 +1.6700e-01 +2.4938e-01 +9.9161e-01 +3.6569e-03 +3.9784e-02 +5.8173e-01 +5.0019e-01 +8.4400e-01 +7.6392e-01 +4.1793e-01 +5.3016e-01 +4.3072e-01 +2.7056e-01 +2.1124e-01 +5.8823e-01 +6.1133e-01 +4.3506e-01 +2.8318e-01 +4.3940e-01
34 +6.110186918e+01 +6.110186918e+01 +2.098518692e+02 +2.098518692e+02 +4.6657e-01 +9.4433e-01 +1.0000e+00 +2.0991e-01 +0.0000e+00 +3.1434e-01 +2.9412e-02 +7.0205e-01 +4.3560e-01 +5.3121e-01 +3.9911e-01 +1.9612e-01 +3.3964e-01 +3.4759e-01 +7.6321e-01 +4.4333e-01 +3.2608e-01 +4.9851e-01 +1.0591e-02 +4.1861e-01
785 +3.957844618e+01 +3.957844618e+01 +1.883284462e+02 +1.883284462e+02 +9.7418e-01 +0.0000e+00 +8.0113e-01 +9.9987e-01 +1.0547e-01 +9.0091e-01 +7.4746e-01 +1.8801e-01 +3.5495e-01 +7.6557e-01 +9.9301e-01 +4.6753e-02 +1.0000e+00 +0.0000e+00 +2.6945e-02 +3.2739e-01 +9.4446e-01 +9.9006e-03 +5.1404e-01 +2.7068e-01
% function evaluation | noise-free fitness - Fopt (-1.483000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.814761131e+01 +7.814761131e+01 -7.015238869e+01 -7.015238869e+01 +9.6307e-02 +1.9729e-01 +3.9776e-01 +1.1828e-01 +8.9326e-01 +4.1191e-01 +1.9213e-01 +6.6960e-01 +7.9899e-01 +2.0184e-01 +5.7461e-01 +9.8745e-01 +2.3873e-02 +9.9537e-01 +5.6004e-01 +4.4924e-02 +8.8500e-01 +4.5598e-01 +2.9261e-01 +8.3174e-01
3 +5.398050171e+01 +5.398050171e+01 -9.431949829e+01 -9.431949829e+01 +1.6563e-01 +4.7015e-01 +4.9276e-02 +5.7496e-01 +5.8778e-01 +9.8514e-01 +5.6029e-01 +2.4104e-01 +9.3561e-01 +7.1373e-01 +3.6678e-01 +2.4141e-01 +5.6417e-01 +2.7753e-01 +5.1942e-03 +6.8785e-01 +5.9718e-01 +4.5073e-01 +9.4735e-01 +8.3985e-01
