% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.517742704e+03 +1.517742704e+03 +1.610682704e+03 +1.610682704e+03 +8.5389e-01 +9.8269e-01 +2.1227e-01 +8.2881e-02 +5.5610e-02 +5.4157e-01 +3.4002e-01 +1.2584e-01 +4.9417e-01 +9.2243e-01 +4.3993e-01 +3.3717e-01 +1.3423e-01 +2.7981e-01 +3.5787e-01 +4.3636e-01 +9.3825e-01 +2.6575e-01 +7.9630e-01 +5.8734e-01
319 +9.898484689e+02 +9.898484689e+02 +1.082788469e+03 +1.082788469e+03 +1.0000e+00 +3.5096e-04 +1.7804e-01 +8.2759e-01 +1.0000e+00 +9.8125e-01 +3.1964e-01 +2.1142e-02 +9.5460e-01 +6.4449e-01 +0.0000e+00 +0.0000e+00 +9.8448e-01 +1.9002e-01 +0.0000e+00 +0.0000e+00 +1.0000e+00 +9.3602e-01 +9.7222e-01 +3.6241e-02
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.203363002e+03 +2.203363002e+03 +2.238713002e+03 +2.238713002e+03 +1.1872e-01 +1.9681e-01 +6.5879e-01 +7.2661e-01 +6.1485e-01 +9.5869e-01 +1.2778e-01 +2.8214e-01 +2.2755e-01 +1.6715e-01 +5.4074e-01 +6.2294e-02 +1.2332e-01 +6.0757e-01 +8.5103e-01 +7.4540e-01 +5.1685e-01 +9.7360e-02 +9.1649e-01 +2.0582e-01
57 +1.567648238e+03 +1.567648238e+03 +1.602998238e+03 +1.602998238e+03 +4.8440e-01 +3.2788e-01 +9.9491e-01 +4.1745e-01 +0.0000e+00 +1.2403e-01 +9.9028e-01 +2.2538e-01 +7.5217e-01 +0.0000e+00 +9.5856e-01 +2.4395e-01 +6.6015e-01 +9.3490e-01 +2.0100e-01 +8.2210e-01 +9.1911e-01 +5.7257e-01 +1.0000e+00 +7.7673e-01
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.818482520e+02 +5.818482520e+02 +5.856682520e+02 +5.856682520e+02 +2.7736e-01 +4.2647e-01 +7.8109e-01 +1.6292e-01 +4.0292e-01 +2.1154e-01 +1.4076e-01 +7.6516e-01 +8.8476e-02 +6.8583e-01 +3.5638e-02 +5.3397e-01 +7.3255e-01 +7.2518e-02 +6.6003e-01 +5.8479e-01 +3.8894e-01 +3.2995e-01 +5.0099e-01 +9.1909e-01
347 +3.868057070e+02 +3.868057070e+02 +3.906257070e+02 +3.906257070e+02 +1.0000e+00 +4.5411e-01 +8.2954e-01 +2.5457e-02 +2.0031e-01 +1.7266e-01 +2.7450e-01 +9.9764e-01 +0.0000e+00 +8.8792e-01 +9.7218e-01 +5.5387e-01 +5.5090e-01 +0.0000e+00 +8.7946e-01 +2.5118e-01 +5.8388e-02 +7.8545e-01 +9.5490e-01 +9.9651e-01
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.069667826e+03 +1.069667826e+03 +1.091417826e+03 +1.091417826e+03 +4.5311e-01 +5.6768e-01 +4.5670e-02 +6.5949e-01 +9.3297e-01 +1.3491e-01 +4.1430e-01 +3.8346e-03 +3.0230e-01 +8.7049e-01 +6.5623e-01 +6.5540e-01 +6.2095e-01 +3.2809e-01 +5.4778e-01 +3.5824e-01 +1.1692e-01 +2.3153e-01 +3.8247e-01 +4.4360e-01
44 +9.424503468e+02 +9.424503468e+02 +9.642003468e+02 +9.642003468e+02 +1.0000e+00 +5.7550e-01 +6.5732e-01 +9.3055e-01 +1.0000e+00 +0.0000e+00 +8.6860e-01 +5.4832e-01 +7.8938e-01 +8.6347e-01 +1.0000e+00 +9.2384e-01 +5.8588e-01 +5.0257e-01 +4.0660e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +9.9611e-02 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (6.479000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.135324669e+02 +8.135324669e+02 +8.783224669e+02 +8.783224669e+02 +4.6486e-01 +8.8061e-02 +1.7777e-01 +6.1216e-01 +5.1611e-01 +4.3407e-01 +1.3025e-01 +5.4571e-01 +1.9471e-01 +1.4876e-01 +5.5702e-01 +4.9900e-01 +2.5106e-02 +7.8325e-01 +3.1322e-02 +5.0604e-01 +5.1754e-01 +9.4495e-01 +1.9902e-01 +3.8741e-01
118 +6.065017984e+02 +6.065017984e+02 +6.712917984e+02 +6.712917984e+02 +8.8467e-01 +9.6474e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +2.1949e-02 +3.4145e-01 +9.9042e-01 +6.1305e-03 +1.0000e+00 +9.4993e-01 +9.8579e-01 +1.0000e+00 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +1.0000e+00 +0.0000e+00 +2.0577e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.642098296e+02 +5.642098296e+02 -4.357901704e+02 -4.357901704e+02 +4.4131e-01 +4.0814e-01 +2.8270e-01 +3.6552e-01 +7.5008e-01 +1.0053e-01 +5.8699e-01 +6.9552e-01 +3.9841e-01 +5.7487e-01 +5.6568e-01 +2.2114e-01 +6.7617e-01 +2.3195e-01 +9.8521e-01 +9.0037e-02 +2.0052e-01 +5.4989e-01 +2.0254e-01 +8.5735e-01
