% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.873990724e+04 +1.873990724e+04 +1.819340724e+04 +1.819340724e+04 +1.7605e-01 +4.4991e-02 +8.6666e-01 +9.8685e-01 +9.4019e-01 +6.8031e-01 +7.7971e-01 +1.5763e-01 +9.0777e-01 +4.6433e-01 +9.4173e-02 +7.5126e-01 +3.9504e-01 +2.4270e-01 +9.1243e-01 +6.5880e-01 +5.4773e-01 +3.3105e-01 +2.0757e-01 +5.3766e-01
15 +1.514422231e+04 +1.514422231e+04 +1.459772231e+04 +1.459772231e+04 +7.2735e-01 +7.6821e-01 +2.4791e-01 +8.7977e-01 +8.9453e-01 +7.1270e-01 +5.5646e-01 +5.2571e-01 +3.6926e-01 +9.6475e-02 +5.4799e-01 +9.0023e-02 +9.8599e-01 +4.0714e-01 +2.9772e-01 +1.1372e-02 +6.3526e-01 +2.7994e-01 +2.9076e-01 +7.4075e-01
59 +9.207437985e+03 +9.207437985e+03 +8.660937985e+03 +8.660937985e+03 +1.0000e+00 +6.6836e-01 +5.7895e-01 +9.9931e-01 +5.3960e-01 +1.0000e+00 +6.2541e-01 +6.2785e-01 +0.0000e+00 +3.0217e-01 +3.8746e-01 +1.0000e+00 +7.8398e-01 +0.0000e+00 +6.5664e-01 +0.0000e+00 +1.0000e+00 +2.6629e-01 +0.0000e+00 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.854527491e+04 +2.854527491e+04 +2.954527491e+04 +2.954527491e+04 +3.0174e-01 +5.1397e-01 +5.6465e-01 +5.8879e-01 +2.3460e-01 +6.0567e-02 +2.3891e-02 +6.4927e-01 +1.4905e-01 +8.2865e-01 +4.0311e-02 +1.0868e-01 +2.6704e-01 +4.0453e-01 +2.1181e-01 +8.2593e-02 +1.7006e-01 +7.0327e-01 +1.8905e-01 +9.3566e-01
44 +1.986925336e+04 +1.986925336e+04 +2.086925336e+04 +2.086925336e+04 +3.2205e-01 +2.6172e-01 +6.5897e-01 +0.0000e+00 +1.0921e-02 +0.0000e+00 +0.0000e+00 +1.0000e+00 +5.2380e-01 +1.0000e+00 +0.0000e+00 +4.5322e-02 +9.4039e-03 +2.9551e-01 +2.8484e-01 +1.5634e-01 +0.0000e+00 +2.2466e-01 +0.0000e+00 +1.0000e+00
64 +1.466009972e+04 +1.466009972e+04 +1.566009972e+04 +1.566009972e+04 +2.3920e-01 +0.0000e+00 +9.6075e-01 +3.4450e-01 +0.0000e+00 +0.0000e+00 +1.5561e-02 +9.2306e-01 +2.3801e-02 +8.1731e-01 +1.6361e-02 +6.0078e-02 +0.0000e+00 +1.8266e-01 +0.0000e+00 +4.0882e-02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.274722324e+03 +7.274722324e+03 +7.483102324e+03 +7.483102324e+03 +5.1202e-01 +2.1195e-01 +6.4070e-01 +5.1984e-01 +1.2251e-01 +6.8581e-01 +8.8322e-01 +4.7075e-02 +1.1509e-01 +7.4605e-01 +8.3062e-01 +2.4492e-01 +7.8927e-01 +4.1166e-01 +9.7016e-01 +3.1938e-01 +8.9254e-01 +4.8238e-01 +6.6386e-01 +8.0724e-01
21 +6.064791976e+03 +6.064791976e+03 +6.273171976e+03 +6.273171976e+03 +8.4090e-01 +3.7679e-01 +1.0000e+00 +7.1624e-01 +4.2815e-01 +8.3647e-01 +1.0000e+00 +0.0000e+00 +0.0000e+00 +2.4605e-01 +7.2150e-01 +7.4492e-01 +8.3343e-01 +1.6703e-01 +9.4044e-01 +7.2186e-02 +1.0000e+00 +9.6493e-01 +6.9555e-01 +3.7744e-01
63 +3.429327443e+03 +3.429327443e+03 +3.637707443e+03 +3.637707443e+03 +9.4230e-01 +0.0000e+00 +9.5445e-01 +9.7153e-01 +4.3862e-01 +8.7698e-01 +1.0000e+00 +1.5032e-01 +5.4583e-02 +3.6792e-01 +4.9812e-01 +4.7265e-01 +5.2852e-01 +2.9914e-02 +1.0000e+00 +1.3596e-01 +1.0000e+00 +9.3898e-01 +6.1273e-01 +8.9295e-01
93 +2.381307226e+03 +2.381307226e+03 +2.589687226e+03 +2.589687226e+03 +9.9921e-01 +1.1045e-02 +8.0669e-01 +2.2779e-01 +1.0000e+00 +8.6901e-01 +3.9129e-01 +6.1241e-01 +8.1057e-01 +0.0000e+00 +6.5315e-01 +9.5782e-01 +0.0000e+00 +4.9776e-02 +9.2664e-01 +1.5289e-02 +6.4457e-01 +1.0000e+00 +4.7036e-01 +1.0000e+00
116 +1.360703259e+03 +1.360703259e+03 +1.569083259e+03 +1.569083259e+03 +9.9945e-01 +0.0000e+00 +9.4846e-01 +0.0000e+00 +7.2371e-01 +9.9723e-01 +7.9741e-01 +5.7379e-01 +5.1749e-01 +0.0000e+00 +7.1559e-01 +9.8679e-01 +0.0000e+00 +5.4331e-03 +1.0000e+00 +9.1621e-03 +1.0000e+00 +1.0000e+00 +8.1204e-01 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.449600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.405963539e+04 +2.405963539e+04 +2.391467539e+04 +2.391467539e+04 +3.8732e-01 +8.8055e-01 +6.3209e-02 +8.7936e-01 +9.1001e-01 +3.2786e-01 +2.4514e-01 +6.4863e-01 +3.1046e-01 +5.4244e-01 +1.6493e-01 +3.7484e-01 +9.6374e-01 +6.8019e-01 +1.8745e-01 +9.0107e-01 +8.2938e-01 +2.7517e-01 +2.3405e-01 +2.8973e-01
8 +1.375671143e+04 +1.375671143e+04 +1.361175143e+04 +1.361175143e+04 +1.2506e-01 +7.6830e-01 +1.5696e-01 +9.1049e-01 +5.3345e-01 +5.7037e-01 +8.2563e-01 +5.9812e-01 +8.3236e-01 +7.4456e-01 +5.2920e-01 +9.4195e-01 +2.7590e-01 +6.2900e-01 +5.0229e-01 +4.2557e-01 +2.0895e-01 +5.2713e-02 +3.6376e-01 +3.5970e-02
77 +9.701359414e+03 +9.701359414e+03 +9.556399414e+03 +9.556399414e+03 +9.0800e-01 +5.5706e-01 +9.3314e-02 +7.1644e-01 +6.5556e-01 +7.0641e-01 +2.3262e-01 +1.0000e+00 +1.0000e+00 +1.0000e+00 +1.0000e+00 +1.0000e+00 +9.3205e-01 +3.6288e-01 +1.8157e-01 +2.6200e-01 +0.0000e+00 +0.0000e+00 +9.5102e-01 +1.9383e-03
% function evaluation | noise-free fitness - Fopt (-6.300000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.539350831e+04 +5.539350831e+04 +5.538720831e+04 +5.538720831e+04 +8.8713e-01 +8.5838e-01 +5.1411e-01 +4.4203e-01 +8.8958e-01 +1.9868e-01 +8.8018e-01 +3.9131e-01 +2.6038e-01 +7.6435e-01 +9.0502e-01 +3.0623e-01 +8.6509e-01 +2.8177e-01 +4.1422e-01 +2.5216e-01 +6.8878e-01 +8.9665e-01 +9.3644e-01 +2.4209e-01
3 +3.886731324e+04 +3.886731324e+04 +3.886101324e+04 +3.886101324e+04 +8.8662e-01 +6.9263e-01 +2.2470e-01 +3.6003e-01 +6.7480e-01 +2.1772e-01 +8.7600e-01 +9.8427e-02 +6.9939e-01 +9.6435e-01 +9.6409e-01 +2.2419e-01 +2.4103e-01 +7.9954e-01 +1.1061e-02 +2.4584e-01 +5.6817e-01 +6.5889e-01 +4.6806e-01 +3.0059e-01
28 +2.490820321e+04 +2.490820321e+04 +2.490190321e+04 +2.490190321e+04 +1.7898e-01 +5.3793e-01 +4.6670e-01 +2.2407e-01 +0.0000e+00 +6.1169e-01 +1.1305e-01 +6.9045e-01 +9.1769e-01 +2.9930e-01 +8.7477e-02 +1.9917e-01 +5.3995e-01 +3.4050e-01 +4.6819e-01 +4.3929e-01 +1.9871e-01 +0.0000e+00 +4.0137e-01 +0.0000e+00
94 +1.551374937e+04 +1.551374937e+04 +1.550744937e+04 +1.550744937e+04 +0.0000e+00 +7.0973e-01 +4.0647e-01 +0.0000e+00 +1.3133e-01 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +8.5886e-01 +2.7115e-01 +1.0000e+00 +4.2464e-01 +6.3358e-01 +1.2356e-01 +1.0000e+00 +0.0000e+00 +1.5362e-02 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-3.790000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.424401783e+04 +2.424401783e+04 +2.424022783e+04 +2.424022783e+04 +1.3015e-01 +5.3910e-03 +3.2653e-01 +3.4609e-01 +3.8241e-01 +5.8773e-01 +6.6975e-01 +6.0032e-02 +8.7953e-01 +4.3871e-01 +4.2168e-01 +8.2367e-01 +3.2950e-01 +4.7523e-01 +6.1063e-01 +2.2174e-01 +1.9295e-01 +4.9189e-02 +1.2885e-01 +6.6037e-01
35 +1.218077797e+04 +1.218077797e+04 +1.217698797e+04 +1.217698797e+04 +7.7369e-01 +5.3270e-01 +1.0000e+00 +2.8070e-01 +2.8167e-01 +3.7269e-01 +1.5087e-01 +8.6514e-01 +6.9339e-01 +7.0934e-01 +5.5876e-01 +7.3056e-01 +0.0000e+00 +8.0345e-01 +3.3704e-01 +6.0613e-01 +5.1511e-01 +6.0041e-01 +0.0000e+00 +1.5549e-01
75 +9.871611559e+03 +9.871611559e+03 +9.867821559e+03 +9.867821559e+03 +9.9188e-01 +6.4506e-01 +2.3961e-01 +3.8750e-02 +0.0000e+00 +3.9634e-01 +2.2514e-02 +1.0000e+00 +6.6926e-01 +1.0000e+00 +5.7065e-02 +6.3958e-01 +0.0000e+00 +1.0000e+00 +1.8106e-02 +6.2200e-01 +1.0000e+00 +9.7959e-01 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-5.675000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.844817522e+04 +3.844817522e+04 +3.839142522e+04 +3.839142522e+04 +8.2129e-01 +1.9808e-01 +8.6417e-01 +6.4605e-01 +4.4117e-01 +5.6561e-02 +5.3570e-01 +8.0131e-01 +2.2956e-01 +9.4318e-01 +4.3547e-03 +6.0475e-01 +6.5581e-01 +5.7780e-01 +7.1184e-01 +3.4997e-01 +4.7665e-01 +6.6644e-01 +8.5323e-01 +3.7788e-01
20 +2.325332227e+04 +2.325332227e+04 +2.319657227e+04 +2.319657227e+04 +1.8269e-02 +2.3331e-02 +2.3659e-02 +7.3032e-01 +4.1225e-01 +4.9935e-01 +4.6663e-02 +4.2840e-01 +3.8262e-01 +7.5785e-01 +5.0556e-01 +2.5029e-01 +1.1867e-01 +7.7015e-01 +5.3078e-01 +4.0312e-01 +9.9907e-01 +8.8879e-01 +1.2161e-02 +1.8297e-02
71 +1.570052112e+04 +1.570052112e+04 +1.564377112e+04 +1.564377112e+04 +8.4812e-01 +1.0000e+00 +8.7202e-01 +4.2133e-01 +4.9472e-01 +2.9633e-01 +7.6005e-01 +0.0000e+00 +4.5905e-03 +3.3586e-02 +0.0000e+00 +6.0821e-01 +6.0598e-03 +0.0000e+00 +5.6110e-01 +2.3079e-01 +1.0000e+00 +0.0000e+00 +0.0000e+00 +1.7466e-01
% function evaluation | noise-free fitness - Fopt (-5.980000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.763575806e+04 +2.763575806e+04 +2.757595806e+04 +2.757595806e+04 +2.6368e-01 +3.7477e-01 +5.4731e-01 +9.2524e-01 +2.0185e-01 +6.6019e-01 +1.2649e-01 +6.7638e-01 +2.7026e-01 +8.9114e-01 +6.7786e-01 +6.6428e-01 +8.4022e-01 +5.5808e-01 +6.6230e-01 +6.7547e-01 +9.1332e-01 +6.1272e-01 +1.8273e-01 +1.1469e-01
19 +2.401094966e+04 +2.401094966e+04 +2.395114966e+04 +2.395114966e+04 +3.7397e-01 +7.4702e-01 +5.1289e-01 +5.2126e-01 +1.7741e-01 +8.1730e-01 +8.9612e-02 +4.3264e-01 +6.9416e-01 +5.5524e-01 +2.7519e-01 +9.8923e-01 +1.3618e-01 +9.1039e-01 +5.0060e-01 +8.7305e-01 +8.9850e-01 +8.6294e-01 +8.9561e-02 +2.4350e-01
