% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.931784886e+02 +3.931784886e+02 +3.839684886e+02 +3.839684886e+02 +4.0400e-01 +5.2654e-01 +3.3415e-01 +4.9894e-01 +3.2182e-01 +3.4701e-01 +7.6664e-01 +7.3570e-01 +2.4636e-01 +9.7654e-01 +6.9221e-01 +2.8153e-01 +6.4531e-01 +3.5828e-01 +3.4958e-01 +9.2302e-01 +8.6446e-01 +7.8909e-01 +3.8698e-01 +5.1125e-02
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.902229325e+02 +3.902229325e+02 +1.046212933e+03 +1.046212933e+03 +6.4872e-01 +9.9442e-01 +4.3551e-01 +8.8256e-01 +4.0895e-01 +7.6698e-01 +4.3926e-01 +3.8160e-01 +2.8170e-01 +9.1407e-01 +8.0481e-01 +5.3654e-01 +5.9970e-01 +3.8567e-01 +4.5379e-02 +9.4840e-01 +8.4156e-03 +3.9262e-01 +3.5409e-01 +2.8353e-01
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.142288411e+02 +4.142288411e+02 +4.809388411e+02 +4.809388411e+02 +9.8748e-01 +2.7066e-01 +1.0657e-01 +1.4037e-01 +6.7206e-01 +7.2263e-01 +5.3353e-01 +3.0910e-01 +1.8251e-01 +9.8995e-01 +1.0998e-01 +2.4865e-01 +2.2330e-01 +1.9272e-01 +7.3070e-01 +1.7202e-01 +4.5467e-01 +9.4341e-01 +3.7638e-01 +1.3900e-01
48 +3.979162876e+02 +3.979162876e+02 +4.646262876e+02 +4.646262876e+02 +6.5508e-01 +8.8572e-01 +0.0000e+00 +7.1465e-01 +0.0000e+00 +8.6342e-01 +3.8945e-04 +7.3503e-01 +0.0000e+00 +3.0469e-01 +4.7653e-02 +4.5360e-02 +1.7291e-01 +8.6610e-01 +2.5867e-01 +1.0000e+00 +1.0000e+00 +1.4825e-01 +1.0656e-01 +7.5719e-03
% function evaluation | noise-free fitness - Fopt (9.416700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.911980961e+02 +3.911980961e+02 +1.332868096e+03 +1.332868096e+03 +3.6710e-02 +5.2130e-01 +5.8004e-01 +5.1960e-01 +2.8091e-01 +9.9985e-02 +3.8101e-01 +9.2087e-01 +1.9897e-01 +2.6803e-01 +2.7696e-01 +8.3819e-01 +9.3937e-01 +7.6517e-01 +8.4640e-01 +5.4334e-01 +8.6849e-01 +4.1080e-01 +8.6493e-01 +1.8667e-01
% function evaluation | noise-free fitness - Fopt (-3.745000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.849900454e+02 +3.849900454e+02 +3.475400454e+02 +3.475400454e+02 +4.5686e-01 +6.2215e-01 +7.5868e-03 +2.7633e-01 +3.4837e-01 +1.7937e-01 +1.1691e-01 +3.6021e-01 +9.1495e-01 +3.1238e-01 +6.2360e-01 +4.5975e-01 +7.0717e-01 +6.8199e-02 +8.4288e-01 +6.1788e-01 +9.4761e-01 +7.9573e-01 +6.9544e-01 +3.6939e-01
% function evaluation | noise-free fitness - Fopt (-4.450500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.969857661e+02 +3.969857661e+02 -4.806423392e+01 -4.806423392e+01 +7.0853e-01 +6.6814e-01 +2.4244e-01 +1.8052e-01 +4.7050e-01 +5.3056e-01 +3.0686e-01 +1.6753e-01 +4.2613e-01 +7.8976e-01 +5.9154e-01 +4.6561e-01 +9.8435e-01 +1.4996e-01 +7.4560e-01 +2.4780e-01 +5.5269e-01 +9.4166e-01 +8.3150e-01 +1.7396e-01
% function evaluation | noise-free fitness - Fopt (9.513200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
