% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.660642503e+02 +8.660642503e+02 +4.039742503e+02 +4.039742503e+02 +5.7131e-01 +3.6476e-01 +6.8655e-01 +7.4630e-01 +6.1385e-01 +8.1472e-01 +8.4816e-01 +4.2950e-02 +7.9886e-01 +8.4863e-01 +8.5084e-01 +7.4041e-02 +8.9953e-01 +8.2920e-01 +4.3891e-01 +1.5537e-01 +5.4484e-01 +6.6065e-01 +1.0002e-02 +1.8880e-01
26 +6.037494610e+02 +6.037494610e+02 +1.416594610e+02 +1.416594610e+02 +7.7351e-02 +4.2468e-02 +5.1560e-01 +6.2819e-01 +7.5646e-01 +2.1430e-01 +5.3904e-01 +5.0167e-01 +6.3470e-01 +7.8764e-01 +9.4267e-01 +3.8544e-02 +4.1875e-01 +4.6110e-01 +1.9860e-01 +3.8078e-01 +3.3522e-01 +6.5072e-01 +1.5180e-01 +3.7176e-01
722 +3.921587008e+02 +3.921587008e+02 -6.993129916e+01 -6.993129916e+01 +4.6089e-01 +4.5822e-01 +5.8025e-01 +7.3046e-01 +8.5289e-01 +0.0000e+00 +4.0104e-01 +7.8415e-01 +1.5616e-02 +6.8248e-02 +5.1395e-01 +0.0000e+00 +1.0851e-01 +2.0034e-02 +9.5402e-01 +4.5006e-02 +1.5243e-04 +8.2949e-01 +8.7749e-01 +8.8858e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.510608365e+02 +7.510608365e+02 +8.287208365e+02 +8.287208365e+02 +5.5007e-01 +3.6365e-01 +2.2837e-01 +6.1981e-01 +7.8037e-01 +9.3957e-01 +8.7804e-01 +5.1004e-01 +9.6503e-01 +3.4333e-01 +8.7306e-01 +9.1042e-01 +3.6338e-01 +7.1740e-02 +7.2829e-01 +5.6457e-01 +4.4109e-01 +1.4372e-01 +8.8699e-01 +6.7942e-01
16 +6.212796156e+02 +6.212796156e+02 +6.989396156e+02 +6.989396156e+02 +4.6635e-01 +3.0578e-01 +5.1162e-01 +2.2330e-01 +2.7079e-01 +4.2146e-01 +5.9003e-01 +5.1087e-01 +2.9338e-01 +8.2460e-01 +6.4679e-01 +5.6990e-01 +2.0921e-01 +1.5525e-01 +6.0790e-01 +9.0409e-01 +3.5071e-01 +6.2920e-02 +2.4140e-01 +9.5960e-01
938 +3.942470475e+02 +3.942470475e+02 +4.719070475e+02 +4.719070475e+02 +2.1221e-01 +1.1174e-01 +3.2263e-01 +0.0000e+00 +9.9872e-01 +1.0000e+00 +5.0640e-01 +2.3767e-01 +1.5701e-01 +2.1672e-01 +7.6897e-01 +6.4725e-01 +2.9203e-01 +8.8090e-02 +6.4745e-01 +9.9724e-01 +2.9019e-01 +1.1274e-02 +8.3447e-01 +6.6133e-02
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.717691251e+02 +5.717691251e+02 +6.874491251e+02 +6.874491251e+02 +8.2093e-01 +4.1999e-01 +3.3550e-01 +3.1749e-01 +9.5337e-01 +6.8092e-01 +1.7929e-01 +5.3320e-01 +7.5475e-01 +1.9978e-01 +7.8884e-01 +6.4666e-01 +3.8168e-01 +2.2486e-01 +7.0095e-01 +8.0775e-01 +5.8048e-01 +7.7930e-01 +9.3564e-01 +2.9903e-02
545 +3.978464760e+02 +3.978464760e+02 +5.135264760e+02 +5.135264760e+02 +1.6787e-01 +9.4926e-01 +2.2580e-01 +6.0751e-01 +6.9316e-02 +9.3212e-05 +1.3872e-01 +5.2164e-01 +8.5813e-01 +2.6173e-01 +1.0000e+00 +8.7279e-01 +9.7887e-01 +2.3683e-01 +8.9502e-01 +2.8148e-02 +8.6465e-03 +9.7524e-01 +1.0000e+00 +4.5088e-02
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.556974341e+02 +7.556974341e+02 +7.519874341e+02 +7.519874341e+02 +6.4870e-01 +1.5610e-01 +4.3504e-01 +1.5862e-01 +7.6453e-01 +9.0927e-01 +2.6554e-01 +1.8139e-01 +8.7906e-01 +2.1642e-01 +9.4513e-01 +8.4605e-01 +6.8049e-01 +6.7759e-01 +8.0039e-01 +1.2471e-01 +1.1451e-01 +3.0041e-01 +8.5736e-01 +8.4914e-01
42 +6.250480007e+02 +6.250480007e+02 +6.213380007e+02 +6.213380007e+02 +9.3211e-01 +2.1125e-01 +2.2076e-01 +0.0000e+00 +7.9550e-01 +4.9401e-01 +1.8979e-01 +3.3382e-01 +0.0000e+00 +7.8219e-01 +4.0323e-01 +2.1464e-01 +3.0557e-01 +2.6899e-01 +0.0000e+00 +5.4053e-01 +7.2926e-01 +5.4612e-01 +1.0000e+00 +0.0000e+00
4342 +3.964846384e+02 +3.964846384e+02 +3.927746384e+02 +3.927746384e+02 +9.8636e-01 +5.3097e-01 +8.9572e-01 +5.4769e-01 +7.3634e-01 +6.8200e-01 +1.5884e-01 +1.2738e-03 +5.9768e-01 +6.7936e-01 +9.6370e-01 +5.5866e-01 +6.1296e-01 +1.5175e-01 +1.3109e-01 +2.8885e-02 +6.9225e-01 +7.5175e-01 +7.8725e-01 +1.2968e-05
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.827093208e+02 +4.827093208e+02 +6.148893208e+02 +6.148893208e+02 +8.0192e-01 +8.4302e-01 +2.4096e-01 +6.8005e-03 +5.3972e-01 +8.6329e-01 +1.2228e-01 +8.2607e-01 +3.2134e-01 +9.3699e-01 +1.1376e-02 +9.4757e-01 +1.9236e-01 +1.1132e-02 +2.5668e-01 +3.9336e-01 +5.1280e-01 +8.2507e-01 +9.3046e-01 +6.7219e-01
17 +3.728876537e+02 +3.728876537e+02 +5.050676537e+02 +5.050676537e+02 +5.4868e-01 +8.0474e-01 +6.4542e-01 +6.0668e-01 +3.2807e-01 +4.1663e-01 +2.4479e-01 +8.4097e-01 +1.8339e-01 +9.2377e-01 +1.9347e-01 +4.4463e-03 +7.6880e-01 +1.2683e-01 +8.2505e-01 +7.9033e-01 +6.0359e-01 +9.0933e-01 +6.6855e-01 +5.6434e-02
1209 +2.496113745e+02 +2.496113745e+02 +3.817913745e+02 +3.817913745e+02 +6.7998e-01 +4.9445e-01 +7.2820e-01 +3.7801e-01 +9.9957e-01 +3.8134e-01 +2.1323e-01 +7.0332e-02 +1.0000e+00 +4.0247e-01 +2.4877e-01 +1.3408e-02 +1.8436e-03 +1.0000e+00 +9.3704e-01 +7.7154e-01 +8.8314e-01 +8.9570e-01 +6.4042e-01 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.611936403e+02 +7.611936403e+02 +7.194536403e+02 +7.194536403e+02 +6.9584e-01 +3.9819e-01 +9.6842e-01 +2.7554e-01 +2.1592e-01 +2.7866e-02 +1.9934e-01 +2.4601e-01 +1.1904e-01 +5.6318e-01 +1.4638e-01 +1.0824e-01 +4.7117e-01 +7.6429e-02 +6.7191e-01 +6.4522e-01 +9.1793e-01 +7.0182e-01 +1.6221e-01 +2.3093e-02
3 +5.684199001e+02 +5.684199001e+02 +5.266799001e+02 +5.266799001e+02 +3.1776e-01 +8.3309e-01 +4.7741e-02 +4.4496e-01 +6.7510e-01 +7.0636e-01 +1.4100e-01 +4.9397e-01 +6.0270e-01 +2.3380e-01 +7.8710e-01 +4.5307e-01 +7.8531e-02 +7.8923e-01 +4.1842e-01 +2.1969e-01 +1.6560e-01 +9.7554e-01 +7.2958e-01 +6.1181e-01
625 +3.892096942e+02 +3.892096942e+02 +3.474696942e+02 +3.474696942e+02 +4.8550e-02 +7.6988e-01 +1.0621e-01 +8.9168e-01 +2.4982e-02 +6.3343e-01 +8.1489e-01 +2.6402e-01 +6.9347e-01 +4.1315e-01 +7.5001e-01 +1.0000e+00 +7.4597e-02 +2.1212e-02 +8.6797e-01 +1.0836e-02 +9.4733e-01 +8.5571e-01 +9.2214e-01 +9.4618e-01
% function evaluation | noise-free fitness - Fopt (-4.948600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.804117000e+02 +5.804117000e+02 +8.555169999e+01 +8.555169999e+01 +3.4818e-01 +3.5212e-02 +2.7369e-02 +3.4750e-01 +3.7728e-01 +2.1676e-01 +3.3457e-01 +5.5784e-01 +3.1237e-01 +9.5028e-01 +6.6720e-01 +3.3224e-01 +8.8150e-01 +6.7010e-01 +7.5263e-01 +5.4720e-01 +9.7137e-02 +8.7989e-02 +1.3286e-01 +6.2672e-01
312 +3.953817707e+02 +3.953817707e+02 -9.947822928e+01 -9.947822928e+01 +1.0000e+00 +7.5879e-01 +9.5361e-01 +1.4300e-01 +7.6641e-01 +1.0000e+00 +9.8951e-01 +7.2265e-01 +9.8723e-01 +5.2505e-01 +9.5088e-01 +1.0679e-01 +9.9783e-01 +3.5099e-03 +8.6683e-01 +0.0000e+00 +6.1136e-01 +1.0000e+00 +9.0493e-01 +4.4736e-01
