% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.392921432e+04 +7.392921432e+04 +7.400548432e+04 +7.400548432e+04 +1.7792e-01 +5.6889e-01 +1.3923e-01 +2.2235e-01 +5.4575e-01 +1.5989e-01 +1.4885e-01 +8.3580e-01 +1.0742e-01 +8.9748e-01 +9.5036e-02 +6.0978e-01 +7.3576e-01 +2.9171e-01 +1.1680e-01 +3.6850e-01 +6.9457e-01 +9.7897e-01 +2.5422e-01 +9.8101e-01
4 +2.975889512e+04 +2.975889512e+04 +2.983516512e+04 +2.983516512e+04 +6.0380e-01 +1.8750e-01 +6.7028e-01 +7.9590e-03 +2.0005e-01 +6.0475e-01 +5.3013e-01 +5.9091e-02 +2.6809e-01 +8.5292e-01 +9.9264e-01 +9.2643e-01 +6.7369e-01 +9.4215e-01 +5.8686e-01 +3.2025e-02 +1.4725e-01 +4.5353e-01 +8.9288e-01 +6.2902e-01
5 +2.485925487e+03 +2.485925487e+03 +2.562195487e+03 +2.562195487e+03 +4.0947e-02 +2.6032e-01 +2.1909e-01 +1.0654e-01 +4.5596e-01 +8.7907e-01 +3.4403e-01 +4.4335e-01 +1.3262e-01 +7.4430e-01 +4.3447e-01 +5.5430e-01 +8.0551e-01 +6.6246e-01 +2.9470e-01 +5.4498e-01 +7.8125e-01 +8.3447e-02 +4.7941e-01 +4.5368e-01
14 +1.004326143e+03 +1.004326143e+03 +1.080596143e+03 +1.080596143e+03 +8.3908e-01 +7.9720e-01 +7.5771e-02 +5.3576e-02 +7.8143e-01 +6.7836e-01 +7.0056e-01 +2.4780e-01 +8.7853e-02 +3.2730e-01 +7.3152e-01 +6.1109e-01 +9.6225e-01 +1.1473e-01 +1.4797e-01 +1.2970e-01 +9.9877e-01 +9.1392e-02 +3.2256e-01 +2.0451e-01
21 +1.457546014e+02 +1.457546014e+02 +2.220246014e+02 +2.220246014e+02 +4.4223e-01 +3.9349e-01 +3.1629e-01 +1.2328e-01 +1.0000e+00 +6.5989e-01 +4.7008e-01 +5.9896e-01 +6.0742e-01 +1.0000e+00 +4.4700e-01 +6.9407e-01 +5.6581e-01 +7.9171e-01 +5.5066e-01 +8.0735e-01 +5.7223e-01 +5.5542e-01 +4.5701e-01 +6.7961e-01
210 +9.530718004e+01 +9.530718004e+01 +1.715771800e+02 +1.715771800e+02 +0.0000e+00 +3.4880e-02 +8.7395e-02 +8.8280e-01 +0.0000e+00 +5.0099e-01 +8.7559e-01 +1.0000e+00 +7.3471e-01 +6.7427e-01 +1.0092e-02 +3.6233e-01 +9.5538e-01 +4.9789e-01 +6.0585e-03 +5.6111e-01 +1.0000e+00 +5.5163e-01 +1.0000e+00 +3.4985e-01
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.009786001e+04 +9.009786001e+04 +9.007531001e+04 +9.007531001e+04 +8.3968e-01 +7.1360e-01 +7.9515e-01 +4.7884e-01 +2.8061e-01 +9.0654e-01 +6.1813e-01 +3.3020e-01 +1.1124e-01 +2.9571e-01 +3.3697e-02 +2.2116e-01 +9.4772e-01 +1.4007e-01 +7.4215e-01 +8.1817e-01 +9.0092e-01 +2.9071e-01 +6.6044e-01 +5.1615e-01
2 +9.996375954e+03 +9.996375954e+03 +9.973825954e+03 +9.973825954e+03 +5.2610e-02 +5.7849e-01 +8.8548e-01 +5.3315e-01 +7.0586e-01 +5.7173e-01 +8.1044e-01 +1.9658e-01 +6.0871e-01 +5.3530e-01 +8.0698e-01 +7.3063e-01 +4.0891e-01 +9.1409e-02 +6.0004e-01 +2.0321e-01 +3.5087e-01 +2.5707e-01 +2.3014e-01 +6.5614e-01
3 +3.943278897e+03 +3.943278897e+03 +3.920728897e+03 +3.920728897e+03 +2.0292e-01 +7.6361e-01 +5.9501e-01 +3.5324e-01 +5.5430e-01 +5.2587e-01 +3.4038e-01 +9.2844e-01 +4.1285e-01 +5.1115e-01 +1.4657e-01 +4.1641e-01 +1.3983e-01 +5.2554e-01 +6.5720e-01 +1.5702e-01 +7.2163e-01 +1.9725e-01 +5.6976e-01 +4.5106e-01
15 +1.036854268e+03 +1.036854268e+03 +1.014304268e+03 +1.014304268e+03 +1.6624e-01 +3.8048e-01 +8.0767e-02 +1.0600e-01 +8.3668e-01 +2.3554e-02 +6.2818e-01 +1.6836e-01 +2.6194e-01 +5.2816e-01 +6.8890e-02 +8.5628e-01 +5.3573e-02 +7.3875e-01 +4.3968e-01 +5.1979e-01 +9.9870e-01 +7.6441e-01 +2.2043e-01 +2.7497e-01
18 +6.475261246e+02 +6.475261246e+02 +6.249761246e+02 +6.249761246e+02 +5.8540e-01 +9.4770e-01 +9.1045e-01 +7.0151e-01 +1.9753e-01 +2.6929e-01 +4.3401e-01 +1.1325e-01 +4.1343e-01 +2.6156e-01 +9.0184e-01 +8.9282e-01 +2.2390e-01 +5.3751e-01 +7.6986e-01 +3.2078e-02 +8.9388e-01 +1.9972e-01 +3.9339e-02 +2.7027e-01
28 +3.225399200e+02 +3.225399200e+02 +2.999899200e+02 +2.999899200e+02 +0.0000e+00 +4.4933e-01 +3.6245e-01 +3.3043e-01 +1.7451e-01 +2.3622e-01 +6.4928e-01 +0.0000e+00 +1.6905e-01 +1.0000e+00 +2.7328e-01 +8.6993e-01 +5.5290e-01 +3.6583e-01 +6.4780e-01 +8.9752e-01 +5.4531e-01 +0.0000e+00 +3.7015e-01 +7.5757e-01
32 +8.566541990e+01 +8.566541990e+01 +6.311541990e+01 +6.311541990e+01 +2.2577e-02 +6.2429e-01 +1.0000e+00 +1.2132e-01 +4.9740e-01 +5.1958e-01 +7.7309e-01 +8.1692e-01 +2.8911e-01 +0.0000e+00 +9.1227e-01 +9.2274e-01 +4.4887e-01 +6.0663e-01 +1.4176e-01 +4.6106e-01 +1.0000e+00 +7.1224e-01 +9.2732e-01 +6.6281e-01
% function evaluation | noise-free fitness - Fopt (1.366000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.416072459e+05 +2.416072459e+05 +2.416209059e+05 +2.416209059e+05 +2.9493e-01 +8.8042e-01 +1.9557e-02 +2.7061e-01 +3.0090e-01 +9.4391e-01 +8.1758e-01 +7.0102e-01 +9.4911e-01 +9.8071e-01 +5.6504e-01 +6.6882e-02 +8.0070e-01 +6.7338e-01 +4.9973e-01 +1.7573e-01 +8.0662e-01 +4.7734e-01 +2.0934e-01 +6.7296e-01
3 +1.257650741e+05 +1.257650741e+05 +1.257787341e+05 +1.257787341e+05 +5.3671e-01 +4.9282e-01 +5.9124e-01 +9.5924e-01 +9.6108e-01 +4.0229e-01 +5.4826e-01 +3.0946e-01 +1.3616e-01 +7.2143e-01 +8.0399e-01 +1.7168e-01 +7.5947e-01 +4.7971e-01 +5.4867e-01 +1.7864e-01 +5.9040e-01 +6.8901e-01 +2.7940e-01 +6.2922e-02
21 +7.230129613e+04 +7.230129613e+04 +7.231495613e+04 +7.231495613e+04 +3.8437e-01 +8.5542e-01 +5.1956e-01 +7.7061e-01 +4.8253e-01 +8.2285e-01 +1.0000e+00 +2.0102e-01 +6.0183e-01 +7.8043e-01 +1.0000e+00 +2.4501e-01 +7.3526e-01 +2.5552e-01 +8.2551e-01 +5.0753e-01 +9.0556e-01 +5.7331e-01 +3.4103e-01 +1.7296e-01
23 +2.461656631e+04 +2.461656631e+04 +2.463022631e+04 +2.463022631e+04 +1.0402e-01 +9.9282e-01 +2.8305e-01 +4.9963e-01 +4.6108e-01 +7.3582e-01 +1.0000e+00 +0.0000e+00 +4.5499e-01 +7.8004e-01 +1.0000e+00 +1.5444e-01 +8.6557e-01 +5.2066e-01 +8.7457e-01 +6.7864e-01 +6.2626e-01 +3.4330e-01 +1.2624e-01 +4.1545e-01
44 +4.582344106e+02 +4.582344106e+02 +4.718944106e+02 +4.718944106e+02 +0.0000e+00 +1.0000e+00 +1.0025e-01 +7.2695e-01 +1.4264e-01 +7.1264e-01 +1.0000e+00 +0.0000e+00 +3.7176e-01 +7.1965e-01 +1.0000e+00 +0.0000e+00 +8.8178e-01 +8.9891e-01 +1.0000e+00 +6.5280e-01 +1.0000e+00 +2.4510e-01 +0.0000e+00 +4.8239e-01
49 +2.646558154e+02 +2.646558154e+02 +2.783158154e+02 +2.783158154e+02 +0.0000e+00 +1.0000e+00 +3.8009e-01 +0.0000e+00 +1.0000e+00 +5.9832e-01 +4.7441e-01 +0.0000e+00 +4.1258e-02 +7.9875e-01 +5.1844e-01 +0.0000e+00 +5.9773e-02 +4.5286e-01 +3.7911e-01 +1.0000e+00 +9.8947e-01 +6.7701e-02 +3.2030e-02 +9.2211e-02
79 +1.427585754e+02 +1.427585754e+02 +1.564185754e+02 +1.564185754e+02 +2.5235e-01 +8.9178e-01 +0.0000e+00 +4.6206e-01 +5.5840e-03 +1.1020e-01 +7.2092e-01 +6.3379e-01 +6.3811e-01 +7.9987e-01 +7.2000e-01 +7.4993e-01 +3.7595e-01 +5.6923e-01 +9.7165e-01 +9.2904e-01 +9.9200e-01 +9.0226e-02 +0.0000e+00 +4.1006e-03
% function evaluation | noise-free fitness - Fopt (9.378400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.826727190e+06 +1.826727190e+06 +1.827665030e+06 +1.827665030e+06 +5.4826e-01 +5.0541e-01 +4.8914e-01 +1.8546e-01 +9.0815e-01 +9.6130e-01 +2.6236e-01 +3.9094e-01 +8.9550e-01 +6.5624e-01 +4.8655e-02 +4.9138e-01 +1.9264e-02 +7.7090e-02 +2.5994e-01 +3.7084e-01 +2.7648e-01 +4.6406e-01 +1.3209e-01 +4.5242e-01
2 +6.032873813e+05 +6.032873813e+05 +6.042252213e+05 +6.042252213e+05 +6.7622e-01 +7.0800e-01 +3.8774e-01 +9.2512e-01 +9.0936e-01 +8.7307e-01 +1.9341e-02 +3.2529e-01 +4.5263e-02 +4.6335e-01 +1.3659e-02 +6.7417e-01 +2.6809e-01 +4.9633e-01 +8.6480e-01 +6.7611e-01 +3.0486e-01 +3.8388e-01 +5.1289e-01 +7.6601e-01
8 +3.942381226e+05 +3.942381226e+05 +3.951759626e+05 +3.951759626e+05 +2.7480e-02 +5.7444e-01 +6.3985e-01 +9.1945e-01 +7.6878e-01 +2.7126e-02 +2.2513e-01 +1.8029e-01 +3.9155e-01 +7.7097e-01 +5.0718e-02 +4.2212e-01 +6.1238e-01 +6.1758e-01 +9.4384e-01 +7.5958e-01 +6.4797e-01 +3.8699e-01 +2.7474e-01 +1.6612e-01
41 +2.065623652e+05 +2.065623652e+05 +2.075002052e+05 +2.075002052e+05 +5.1073e-01 +8.7281e-01 +4.5536e-01 +1.0000e+00 +9.1917e-01 +7.1606e-01 +6.2923e-01 +4.7221e-01 +3.2476e-01 +1.8167e-01 +1.5029e-01 +1.0000e+00 +5.0586e-01 +7.2242e-01 +1.0000e+00 +1.0000e+00 +1.6021e-01 +6.5385e-01 +1.0000e+00 +7.0283e-01
63 +1.342529433e+05 +1.342529433e+05 +1.351907833e+05 +1.351907833e+05 +3.3805e-01 +1.0000e+00 +6.3135e-01 +1.0000e+00 +8.5275e-01 +9.8886e-01 +4.9959e-01 +2.2874e-01 +0.0000e+00 +1.6463e-02 +0.0000e+00 +7.2279e-01 +5.5105e-01 +7.2309e-01 +7.0318e-01 +1.0000e+00 +2.3490e-01 +7.0081e-01 +8.9127e-01 +4.2992e-01
65 +1.759316774e+04 +1.759316774e+04 +1.853100774e+04 +1.853100774e+04 +0.0000e+00 +7.9715e-01 +7.4208e-01 +1.0000e+00 +9.9243e-01 +1.0000e+00 +5.4038e-01 +6.5400e-01 +2.2404e-03 +3.4355e-01 +0.0000e+00 +7.8006e-01 +5.3134e-01 +7.7770e-01 +9.6023e-01 +1.0000e+00 +9.1462e-03 +5.6546e-01 +9.3009e-01 +7.5205e-01
85 +1.403828889e+03 +1.403828889e+03 +2.341668889e+03 +2.341668889e+03 +0.0000e+00 +1.0000e+00 +3.9864e-01 +1.0000e+00 +9.3853e-01 +1.0000e+00 +6.0496e-01 +7.2793e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +7.1705e-01 +1.0000e+00 +8.6733e-01 +1.0000e+00 +1.4483e-01 +1.0000e+00 +1.0000e+00 +6.8703e-01
