% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.103484220e+01 +8.103484220e+01 +1.523848422e+02 +1.523848422e+02 +9.0873e-01 +8.5233e-01 +3.0538e-01 +9.2887e-02 +8.3352e-01 +1.2401e-01 +3.1706e-01 +5.7738e-01 +4.0376e-01 +7.7282e-01 +2.1210e-01 +4.3508e-01 +6.6803e-01 +5.1086e-01 +2.0473e-01 +3.5258e-01 +7.2766e-01 +2.0861e-01 +3.3706e-01 +8.1293e-01
5 +5.818661294e+01 +5.818661294e+01 +1.295366129e+02 +1.295366129e+02 +9.5688e-01 +1.8507e-01 +3.5191e-01 +8.9484e-01 +1.3903e-01 +9.7244e-01 +2.3281e-01 +1.0993e-01 +3.6322e-01 +3.5927e-01 +5.7102e-01 +4.8244e-01 +8.6482e-01 +5.1398e-01 +3.6419e-01 +5.8769e-01 +4.4576e-01 +4.2859e-02 +3.6857e-01 +3.1770e-01
58 +3.958184672e+01 +3.958184672e+01 +1.109318467e+02 +1.109318467e+02 +7.4507e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.0000e+00 +3.3306e-01 +1.0000e+00 +0.0000e+00 +9.3007e-01 +5.9667e-01 +7.4668e-01 +3.0320e-01 +6.8884e-01 +6.7069e-01 +8.5735e-01 +8.6479e-01 +5.6356e-01 +1.0000e+00 +3.6408e-01 +5.9019e-01
238 +2.486040637e+01 +2.486040637e+01 +9.621040637e+01 +9.621040637e+01 +4.7024e-01 +1.7646e-01 +2.6988e-01 +1.4731e-01 +9.6254e-01 +7.2774e-01 +1.0000e+00 +9.7738e-02 +6.1243e-01 +6.0842e-01 +5.1208e-01 +2.5642e-01 +9.4332e-01 +5.0242e-01 +9.9241e-01 +0.0000e+00 +1.4682e-02 +9.9329e-01 +2.9033e-01 +4.0991e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.509244262e+01 +4.509244262e+01 -3.101275574e+02 -3.101275574e+02 +9.2806e-01 +1.8659e-01 +1.7838e-01 +3.1601e-01 +5.4076e-01 +6.8722e-01 +4.8377e-01 +8.9881e-01 +1.9378e-01 +2.5108e-01 +8.2833e-01 +1.3502e-01 +8.7229e-01 +8.7696e-01 +5.8341e-02 +6.5798e-01 +8.3179e-01 +6.3987e-01 +2.8868e-01 +5.9578e-01
19 +3.707233186e+01 +3.707233186e+01 -3.181476681e+02 -3.181476681e+02 +9.8559e-01 +3.5370e-01 +3.7042e-01 +1.3014e-01 +4.1935e-01 +5.0051e-01 +9.2455e-01 +4.9752e-02 +3.8475e-01 +8.4247e-01 +8.7883e-01 +1.0543e-01 +8.7877e-01 +2.0535e-01 +9.3062e-01 +7.0072e-01 +6.6107e-01 +8.4559e-01 +8.9241e-01 +6.1004e-01
161 +2.508300697e+01 +2.508300697e+01 -3.301369930e+02 -3.301369930e+02 +1.0000e+00 +7.0258e-01 +6.3772e-01 +4.8974e-02 +2.0269e-01 +5.2577e-01 +5.9375e-01 +3.8092e-01 +8.8443e-01 +1.3604e-01 +8.0339e-01 +0.0000e+00 +7.7215e-01 +4.3648e-01 +5.2838e-01 +8.7641e-01 +6.4220e-01 +8.3370e-01 +6.1936e-01 +8.1104e-01
443 +1.492785382e+01 +1.492785382e+01 -3.402921462e+02 -3.402921462e+02 +9.1429e-01 +0.0000e+00 +4.1008e-01 +1.3937e-02 +2.1724e-01 +2.4212e-02 +6.3061e-01 +6.0387e-01 +1.0000e+00 +0.0000e+00 +7.0343e-01 +1.4302e-02 +9.1134e-01 +4.5792e-01 +2.4357e-01 +8.3205e-01 +8.9615e-01 +8.1100e-01 +7.5257e-01 +7.2637e-01
2796 +9.952235611e+00 +9.952235611e+00 -3.452677644e+02 -3.452677644e+02 +9.0253e-01 +1.6596e-02 +3.8265e-01 +0.0000e+00 +1.9957e-01 +7.6735e-03 +6.1911e-01 +6.4271e-01 +1.0000e+00 +6.0429e-02 +7.9169e-01 +1.6029e-02 +9.3081e-01 +3.3449e-01 +2.8809e-01 +7.9675e-01 +8.2933e-01 +8.2411e-01 +7.5102e-01 +7.8981e-01
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.386180441e+01 +6.386180441e+01 +1.630318044e+02 +1.630318044e+02 +1.9457e-01 +2.9368e-01 +2.5849e-01 +7.8906e-01 +4.9393e-01 +5.5348e-02 +3.0378e-01 +5.5212e-01 +9.1265e-01 +2.3371e-01 +1.9556e-01 +7.3630e-01 +5.9107e-01 +3.5543e-01 +5.0810e-01 +4.2557e-01 +8.4951e-01 +3.3976e-01 +9.6589e-01 +6.4913e-01
5 +4.458533649e+01 +4.458533649e+01 +1.437553365e+02 +1.437553365e+02 +4.7922e-01 +1.3009e-01 +2.7104e-02 +8.1360e-01 +8.6395e-01 +9.5581e-01 +6.4909e-01 +7.9223e-01 +5.1150e-01 +4.9855e-01 +7.7442e-02 +5.0668e-01 +2.1807e-01 +1.6074e-02 +7.5376e-01 +5.3332e-01 +2.9121e-01 +7.6783e-01 +7.0332e-01 +5.0144e-01
